ಐದಾರು	QC.unk....	ಐದಾರು.
ವರ್ಷಗಳ	NN.n.n.pl..o	ವರ್ಷ.ಅ
ಹಿಂದೆ	NST.avy....	ಹಿಂದೆ.
"ದಿಲ್ದಾರ್‌'	UNK	"ದಿಲ್ದಾರ್‌'.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಬಂದಿದ್ದು	VM.v.any.any.any.	ಬರು.ಅದ್ದು
ನಿಮಗೆ	PRP.pn..pl.1.o	ನೀನು.ಇಗೆ
ನೆನಪಿರಬಹುದು.	UNK	ನೆನಪಿರಬಹುದು..
.	SYM.punc....	..


ಆ	DEM.avy....	ಆ.
ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ನಿರ್ದೇಶಕ	NN.n.m.sg.3.d	ನಿರ್ದೇಶಕ.0
ಅಮರ್‌	UNK	ಅಮರ್‌.
ಈಗ	NST.avy....	ಈಗ.
"ನಾನು	UNK	"ನಾನು.
ನಮ್‌	UNK	ನಮ್‌.
ಹುಡ್ಗಿ	NN.unk....	ಹುಡ್ಗಿ.
ಖರ್ಚಿಗೊಂದು	UNK	ಖರ್ಚಿಗೊಂದು.
ಮಾಫಿಯಾ'	UNK	ಮಾಫಿಯಾ'.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಮಾಡುತ್ತಿದ್ದಾರೆ.	UNK	ಮಾಡುತ್ತಿದ್ದಾರೆ..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಚಿತ್ರ	NN.n.n.sg..d	ಚಿತ್ರ.0
ಅಕ್ಷರಾ	UNK	ಅಕ್ಷರಾ.
ಪ್ರೊಡಕ್ಷನ್ಸ್‌ನಡಿ	UNK	ಪ್ರೊಡಕ್ಷನ್ಸ್‌ನಡಿ.
ನಿರ್ಮಾಣವಾಗುತ್ತಿದೆ.	UNK	ನಿರ್ಮಾಣವಾಗುತ್ತಿದೆ..
.	SYM.punc....	..


ಈಗಾಗಲೇ	NST.avy....	ಈಗಾಗಲೇ.
ಆಡಿಯೋ	NN.unk....	ಆಡಿಯೋ.
ಬಿಡುಗಡೆಯಾಗಿರುವ	VM.unk....	ಬಿಡುಗಡೆಯಾಗಿರುವ.
ಈ	DEM.avy....	ಈ.
ಚಿತ್ರ	NN.n.n.sg..d	ಚಿತ್ರ.0
ಸದ್ಯದಲ್ಲೇ	NN.unk....	ಸದ್ಯದಲ್ಲೇ.
ಬಿಡುಗಡೆಯಾಗಲಿದೆ..	UNK	ಬಿಡುಗಡೆಯಾಗಲಿದೆ...
.	SYM.punc....	..


"ನಾನು	UNK	"ನಾನು.
ನಮ್‌	UNK	ನಮ್‌.
ಹುಡ್ಗಿ	NN.unk....	ಹುಡ್ಗಿ.
ಖರ್ಚಿಗೊಂದು	UNK	ಖರ್ಚಿಗೊಂದು.
ಮಾಫಿಯಾ'	UNK	ಮಾಫಿಯಾ'.
ಲವ್‌	UNK	ಲವ್‌.
ಕಂ	NN.unk....	ಕಂ.
ಆ್ಯಕ್ಷನ್‌	UNK	ಆ್ಯಕ್ಷನ್‌.
ಸಬೆjಕ್ಟ್.	UNK	ಸಬೆjಕ್ಟ್..
.	SYM.punc....	..


ಹಾಗಂತ	RB.unk....	ಹಾಗಂತ.
ಗಾಂಧಿನಗರದ	NN.unk....	ಗಾಂಧಿನಗರದ.
ಸಿದ್ಧಸೂತ್ರಗಳ	UNK	ಸಿದ್ಧಸೂತ್ರಗಳ.
ಸುತ್ತ	NST.n.n.sg..o	ಸುತ್ತು.ಅ
ಸುತ್ತುವ	VM.v.any.any.any.	ಸುತ್ತು.ವ
ಸಿನಿಮಾವಂತೂ	UNK	ಸಿನಿಮಾವಂತೂ.
ಅಲ್ಲವೇ	NEG.avy....	ಅಲ್ಲವೇ.
ಅಲ್ಲ	NEG.avy....	ಅಲ್ಲ.
ಎಂದು	PRP.avy....	ಎಂದು.
