ಹೊಸದಿಲ್ಲಿ	NNP.unk....	ಹೊಸದಿಲ್ಲಿ.
:	SYM.punc....	:.
 ಸಾಮಾಜಿಕ	UNK	 ಸಾಮಾಜಿಕ.
ಜಾಲ	NN.n.n.sg..d	ಜಾಲ.0
ತಾಣದಲ್ಲಿ	NN.n.n.sg..o	ತಾಣ.ಅಲ್ಲಿ
ವಿಡಿಯೋ	NN.unk....	ವಿಡಿಯೋ.
ಒಂದು	QC.n.n.sg..d	ಒಂದು.0
 ವೈರಲ್‌	UNK	 ವೈರಲ್‌.
ಆಗಿದ್ದು	VM.v.any.any.any.	ಆಗು.ಇದ್ದುದು
 ಸ್ಥಳೀಯ	UNK	 ಸ್ಥಳೀಯ.
ಕಾಶ್ಮೀರಿ	NN.unk....	ಕಾಶ್ಮೀರಿ.
ಕ್ರಿಕೆಟ್‌	UNK	ಕ್ರಿಕೆಟ್‌.
ಕ್ಲಬ್‌	UNK	ಕ್ಲಬ್‌.
ಆ	DEM.avy....	ಆ.
ಮೂಲಕ	RB.n.n.sg..d	ಮೂಲಕ.0
ಭಾರೀ	JJ.avy....	ಭಾರೀ.
ವಿವಾದವನ್ನು	NN.n.n.sg..o	ವಿವಾದ.ಅನ್ನು
ಸೃಷ್ಟಿಸಿದೆ.	UNK	ಸೃಷ್ಟಿಸಿದೆ..
.	SYM.punc....	..


.	SYM.punc....	..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ವಿಡಿಯೋದಲ್ಲಿ	NN.unk....	ವಿಡಿಯೋದಲ್ಲಿ.
ಸ್ಥಳೀಯ	JJ.unk....	ಸ್ಥಳೀಯ.
ಕಾಶ್ಮೀರಿ	NN.unk....	ಕಾಶ್ಮೀರಿ.
ಕ್ರಿಕೆಟ್‌	UNK	ಕ್ರಿಕೆಟ್‌.
ತಂಡದ	NN.n.n.sg..o	ತಂಡ.ಅ
ಸದಸ್ಯರು	NN.n.m.pl.3.d	ಸದಸ್ಯ.0
ಪಾಕಿಸ್ಥಾನಿ	NN.unk....	ಪಾಕಿಸ್ಥಾನಿ.
ಕ್ರಿಕೆಟ್‌	UNK	ಕ್ರಿಕೆಟ್‌.
ತಂಡದ	NN.n.n.sg..o	ತಂಡ.ಅ
ಸಮವಸ್ತ್ರದಲ್ಲಿ	NN.n.n.sg..o	ಸಮವಸ್ತ್ರ.ಅಲ್ಲಿ
ಕಾಣಿಸಿಕೊಂಡಿದ್ದು	UNK	ಕಾಣಿಸಿಕೊಂಡಿದ್ದು.
 ಪಂದ್ಯಕ್ಕೆ	UNK	 ಪಂದ್ಯಕ್ಕೆ.
ಮೊದಲು	NST.n.n.sg..d	ಮೊದಲು.0
ಪಾಕ್‌	UNK	ಪಾಕ್‌.
ರಾಷ್ಟ್ರ	NN.n.n.sg..d	ರಾಷ್ಟ್ರ.0
ಗೀತೆ	NN.n.n.sg..d	ಗೀತೆ.0
ಹಾಡುವುದು	VM.v.n.sg.3.	ಹಾಡು.ಉವ್
ದಾಖಲಾಗಿದೆ..	UNK	ದಾಖಲಾಗಿದೆ...
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಪಂದ್ಯ	NN.n.n.sg..d	ಪಂದ್ಯ.0
ಎಪ್ರಿಲ್‌	UNK	ಎಪ್ರಿಲ್‌.
2ರಂದು	UNK	2ರಂದು.
ಗಂದರ್‌ಬಾಲ್‌ನಲ್ಲಿನ	UNK	ಗಂದರ್‌ಬಾಲ್‌ನಲ್ಲಿನ.
ವಾಯೀ	UNK	ವಾಯೀ.
ಮೈದಾನದಲ್ಲಿ	NN.n.n.sg..o	ಮೈದಾನ.ಅಲ್ಲಿ
ನಡೆದಿದೆ.	UNK	ನಡೆದಿದೆ..
.	SYM.punc....	..


ಅಂದು	NST.avy....	ಅಂದು.
ಚೆನಾನಿ	UNK	ಚೆನಾನಿ.
-	SYM.punc....	-.
ನಶ್ರೀ	UNK	ನಶ್ರೀ.
ಸುರಂಗವನ್ನು	NN.n.n.sg..o	ಸುರಂಗ.ಅನ್ನು
ಉದ್ಘಾಟಿಸಲು	VM.v.any.any.any.	ಉದ್ಘಾಟಿಸು.ಅಲು
ಪ್ರಧಾನಿ	NN.n.m.sg.3.d	ಪ್ರಧಾನಿ.0
