ಕನ್ನಡ	NNP.n.n.sg..d	ಕನ್ನಡ.0
ಚಿತ್ರರಂಗಕ್ಕೆ	NN.unk....	ಚಿತ್ರರಂಗಕ್ಕೆ.
ದಿನ	NN.n.n.sg..d	ದಿನ.0
ಕಳೆದಂತೆ	VM.v.any.any.any.	ಕಳೆ.ಅಂತೆ
ಹೊಸಬರ	NN.unk....	ಹೊಸಬರ.
ಆಗಮನವಾಗುತ್ತಲೇ	UNK	ಆಗಮನವಾಗುತ್ತಲೇ.
ಇದೆ.	UNK	ಇದೆ..
.	SYM.punc....	..


ಆ	DEM.avy....	ಆ.
ಸಾಲಿಗೆ	NN.n.n.sg..o	ಸಾಲು.ಇಗೆ
ಈಗ	NST.avy....	ಈಗ.
ಕರ್ಣ	NN.n.n.sg..d	ಕರ್ಣ.0
ಎಂಬ	PRP.unk....	ಎಂಬ.
ಹೊಸ	JJ.avy....	ಹೊಸ.
ಪ್ರತಿಭೆಯೂ	NN.unk....	ಪ್ರತಿಭೆಯೂ.
ಒಂದು.	UNK	ಒಂದು..
.	SYM.punc....	..


ಯಾರು	WQ.n.f.sg.3.d	ಯಾವಳು.0
ಈ	DEM.avy....	ಈ.
ಕರ್ಣ	NN.n.n.sg..d	ಕರ್ಣ.0
ಎಂಬ	PRP.unk....	ಎಂಬ.
ಪ್ರಶ್ನೆಗೆ	NN.n.n.sg..o	ಪ್ರಶ್ನೆ.ಇಗೆ
ಉತ್ತರ	NN.n.n.sg..d	ಉತ್ತರ.0
"ಸೆಕೆಂಡು	UNK	"ಸೆಕೆಂಡು.
ಬಕೆಟು	UNK	ಬಕೆಟು.
ಬಾಲ್ಕನಿ'	UNK	ಬಾಲ್ಕನಿ'.
ಚಿತ್ರ	NN.n.n.sg..d	ಚಿತ್ರ.0
ಎನ್ನಬೇಕು.	UNK	ಎನ್ನಬೇಕು..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ಮೂಲಕ	RB.n.n.sg..d	ಮೂಲಕ.0
