ಜೀ	SYM.unk....	ಜೀ.
ಕನ್ನಡ	NNP.n.n.sg..d	ಕನ್ನಡ.0
ವಾಹಿನಿಯಲ್ಲಿ	NN.n.n.sg..o	ವಾಹಿನಿ.ಅಲ್ಲಿ
ಪ್ರಸಾರವಾಗುವ	VM.unk....	ಪ್ರಸಾರವಾಗುವ.
"ಸರಿಗಮಪ'	UNK	"ಸರಿಗಮಪ'.
ಕಾರ್ಯಕ್ರಮದ	NN.n.n.sg..o	ಕಾರ್ಯಕ್ರಮ.ಅ
13ನೆಯ	UNK	13ನೆಯ.
ಸೀಸನ್‌ನ	UNK	ಸೀಸನ್‌ನ.
ಮೆಗಾ	NN.unk....	ಮೆಗಾ.
ಆಡಿಷನ್‌ನ	UNK	ಆಡಿಷನ್‌ನ.
ವಿಡಿಯೋವೊಂದು	UNK	ವಿಡಿಯೋವೊಂದು.
ಈಗ	NST.avy....	ಈಗ.
ಸಿಕ್ಕಾಪಟ್ಟೆ	NN.avy....	ಸಿಕ್ಕಾಪಟ್ಟೆ.
ವೈರಲ್‌	UNK	ವೈರಲ್‌.
ಆಗಿದೆ.	UNK	ಆಗಿದೆ..
.	SYM.punc....	..


ಅದಕ್ಕೆ	PRP.n.n.sg..o	ಅದು.ಇಗೆ
ಕಾರಣ	NN.n.n.sg..d	ಕಾರಣ.0
ಆ	DEM.avy....	ಆ.
ವಿಡಿಯೋದಲ್ಲಿ	NN.unk....	ವಿಡಿಯೋದಲ್ಲಿ.
ಇರುವ	VM.v.any.any.any.	ಇರು.ವ
ಸ್ಪರ್ಧಿ.	UNK	ಸ್ಪರ್ಧಿ..
.	SYM.punc....	..


ಸುಹನಾ	UNK	ಸುಹನಾ.
ಸಯ್ಯದ್‌	UNK	ಸಯ್ಯದ್‌.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ಶಿವಮೊಗ್ಗ	NNP.unk....	ಶಿವಮೊಗ್ಗ.
ಜಿಲ್ಲೆ	NNP.n.n.sg..d	ಜಿಲ್ಲೆ.0
ಸಾಗರದ	NN.n.n.sg..o	ಸಾಗರ.ಅ
ಹುಡುಗಿ	NN.n.f.sg.3.d	ಹುಡುಗಿ.0
ಈ	DEM.avy....	ಈ.
ಮೆಗಾ	NN.unk....	ಮೆಗಾ.
ಆಡಿಷನ್‌ನಲ್ಲಿ	UNK	ಆಡಿಷನ್‌ನಲ್ಲಿ.
ಭಾಗ	NN.n.n.sg..d	ಭಾಗ.0
ವಹಿಸಿ	VM.v..pl.2.	ವಹಿಸು.0
ಎಲ್ಲರ	NN.n.m.pl.3.o	ಎಲ್ಲ.ಅ
ಮೆಚ್ಚುಗೆ	NN.n.n.sg..d	ಮೆಚ್ಚುಗೆ.0
ಪಡೆದಿದ್ದಾರೆ..	UNK	ಪಡೆದಿದ್ದಾರೆ...
.	SYM.punc....	..


ಹಿಂದೂ	NN.n.m.sg.3.d	ಹಿಂದೂ.0
ದೇವರುಗಳ	NN.n.m.pl.3.o	ದೇವರು.ಅ
ಸ್ತೋತ್ರ	NN.n.n.sg..d	ಸ್ತೋತ್ರ.0
ಭಜನೆ	NN.n.n.sg..d	ಭಜನೆ.0
ಸೇರಿದಂತೆ	VM.v.any.any.any.	ಸೇರು.ಅಂತೆ
ಜಾನಪದ	NN.n.n.sg..d	ಜಾನಪದ.0
ಹಾಡುಗಳನ್ನು	NN.n.n.pl..o	ಹಾಡು.ಅನ್ನು
ಸ್ಪಷ್ಟ	JJ.n.n.sg..d	ಸ್ಪಷ್ಟ.0
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
ಸುಶ್ರಾವ್ಯವಾಗಿ	RB.n.n.sg..o	ಸುಶ್ರಾವ್ಯ.ಆಗಿ
ಹಾಡುವ	VM.v.any.any.any.	ಹಾಡು.ವ
ಮೂಲಕ	RB.n.n.sg..d	ಮೂಲಕ.0
ಈಗ	NST.avy....	ಈಗ.
ತೀರ್ಪುಗಾರರಿಂದ	UNK	ತೀರ್ಪುಗಾರರಿಂದ.
ಹಿಡಿದು	VM.v.any.any.any.	ಹಿಡಿ.ದು
ಎಲ್ಲರ	NN.n.m.pl.3.o	ಎಲ್ಲ.ಅ
ಮೆಚ್ಚುಗೆ	NN.n.n.sg..d	ಮೆಚ್ಚುಗೆ.0
ಗಳಿಸಿದ್ದಾರೆ.	UNK	ಗಳಿಸಿದ್ದಾರೆ..
.	SYM.punc....	..


 ಸಾಗರದ	UNK	 ಸಾಗರದ.
ಹೆಗ್ಗೊಡು	UNK	ಹೆಗ್ಗೊಡು.
ಸಮೀಪದ	NN.unk....	ಸಮೀಪದ.
ಭೀಮನಕೋಣೆಯ	UNK	ಭೀಮನಕೋಣೆಯ.
ನಿವಾಸಿ	NN.n.m.sg.3.d	ನಿವಾಸಿ.0
ಸುಹಾನಾ	NN.unk....	ಸುಹಾನಾ.
ಬರೀ	JJ.avy....	ಬರೀ.
ಒಳ್ಳೆಯ	JJ.unk....	ಒಳ್ಳೆಯ.
ಗಾಯಕಿ	NN.unk....	ಗಾಯಕಿ.
ಅಷ್ಟೇ	QF.avy....	ಅಷ್ಟೇ.
ಅಲ್ಲ,	UNK	ಅಲ್ಲ,.
ಎಸ್‌ಎಸ್‌ಎಲ್‌ಸಿಯಲ್ಲಿ	UNK	ಎಸ್‌ಎಸ್‌ಎಲ್‌ಸಿಯಲ್ಲಿ.
ಇದ್ದಾಗ	VM.v.any.any.any.	ಇರು.ಆಗ
ರಾಜ್ಯ	NN.n.n.sg..d	ರಾಜ್ಯ.0
ಮಟ್ಟದ	NN.n.n.sg..o	ಮಟ್ಟ.ಅ
ನೃತ್ಯ	NN.n.n.sg..d	ನೃತ್ಯ.0
ಸ್ಪರ್ಧೆಯಲ್ಲಿ	NN.n.n.sg..o	ಸ್ಪರ್ಧೆ.ಅಲ್ಲಿ
ಪಾಲ್ಗೊಂಡಿದ್ದರು..	UNK	ಪಾಲ್ಗೊಂಡಿದ್ದರು...
.	SYM.punc....	..


ನೀನಾಸಂನ	NNP.unk....	ನೀನಾಸಂನ.
ಊರುಮನೆ	NN.unk....	ಊರುಮನೆ.
ಹಬ್ಬದಲ್ಲಿ	NNP.n.n.sg..o	ಹಬ್ಬ.ಅಲ್ಲಿ
ಸಕ್ರಿಯವಾಗಿ	RB.unk....	ಸಕ್ರಿಯವಾಗಿ.
ವೆಂಕಟರಮಣ	NNP.unk....	ವೆಂಕಟರಮಣ.
ಐತಾಳ,	UNK	ಐತಾಳ,.
ಕೆ.ವಿ.	UNK	ಕೆ.ವಿ..
.	SYM.punc....	..


ಅಕ್ಷರ	NN.n.n.sg..d	ಅಕ್ಷರ.0
ನಿರ್ದೇಶನದ	NN.n.n.sg..o	ನಿರ್ದೇಶನ.ಅ
