ಇತ್ತೀಚೆಗಷ್ಟೇ	NST.unk....	ಇತ್ತೀಚೆಗಷ್ಟೇ.
ಶಿವರಾಜಕುಮಾರ್‌	UNK	ಶಿವರಾಜಕುಮಾರ್‌.
ಅಭಿನಯದ	NN.n.n.sg..o	ಅಭಿನಯ.ಅ
"ಲೀಡರ್‌'	UNK	"ಲೀಡರ್‌'.
ಚಿತ್ರದಲ್ಲಿ	NN.n.n.sg..o	ಚಿತ್ರ.ಅಲ್ಲಿ
ವಿಜಯ್‌	UNK	ವಿಜಯ್‌.
ರಾಘವೇಂದ್ರ	NN.unk....	ರಾಘವೇಂದ್ರ.
ನಟಿಸಿ	VM.v..pl.2.	ನಟಿಸು.0
ಬಂದಿರೋದು	VM.unk....	ಬಂದಿರೋದು.
ಎಲ್ಲರಿಗೂ	PRP.avy....	ಎಲ್ಲರಿಗೂ.
ಗೊತ್ತೇ	UNK	ಗೊತ್ತೇ.
ಇದೆ.	UNK	ಇದೆ..
.	SYM.punc....	..


ಈಗ	NST.avy....	ಈಗ.
ಅವರು	PRP.n.f.pl.3.d	ಅವಳು.0
ಸದ್ದಿಲ್ಲದೆಯೇ	NN.unk....	ಸದ್ದಿಲ್ಲದೆಯೇ.
ಇನ್ನೊಂದು	QC.n.n.sg..d	ಇನ್ನೊಂದು.0
ಹೊಸ	JJ.avy....	ಹೊಸ.
ಸಿನಿಮಾದಲ್ಲಿ	NN.n.n.sg..o	ಸಿನಿಮಾ.ಅಲ್ಲಿ
ನಟಿಸಿದ್ದು,	UNK	ನಟಿಸಿದ್ದು,.
ಆ	DEM.avy....	ಆ.
ಸಿನಿಮಾದ	NN.n.n.sg..o	ಸಿನಿಮಾ.ಅ
ಬಹುತೇಕ	JJ.avy....	ಬಹುತೇಕ.
ಚಿತ್ರೀಕರಣವನ್ನೂ	NN.unk....	ಚಿತ್ರೀಕರಣವನ್ನೂ.
ಮುಗಿಸಿದ್ದಾರೆ.	UNK	ಮುಗಿಸಿದ್ದಾರೆ..
.	SYM.punc....	..


ವಿಜಯ್‌	UNK	ವಿಜಯ್‌.
ರಾಘವೇಂದ್ರ	NN.unk....	ರಾಘವೇಂದ್ರ.
ಅಭಿನಯದ	NN.n.n.sg..o	ಅಭಿನಯ.ಅ
ಚಿತ್ರಕ್ಕೆ	NN.n.n.sg..o	ಚಿತ್ರ.ಇಗೆ
"ರಾಜ	UNK	"ರಾಜ.
ಲವ್ಸ್‌	UNK	ಲವ್ಸ್‌.
ರಾಧೆ'	UNK	ರಾಧೆ'.
ಎಂದು	PRP.avy....	ಎಂದು.
ನಾಮಕರಣ	NN.n.n.sg..d	ನಾಮಕರಣ.0
ಮಾಡಲಾಗಿದೆ.	UNK	ಮಾಡಲಾಗಿದೆ..
.	SYM.punc....	..


ಶೀರ್ಷಿಕೆಗೆ	NN.n.n.sg..o	ಶೀರ್ಷಿಕೆ.ಇಗೆ
"ಎರಡು	UNK	"ಎರಡು.
ಮನಸುಗಳ	NN.unk....	ಮನಸುಗಳ.
ತಿಲ್ಲಾನ...'	UNK	ತಿಲ್ಲಾನ...'.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ಅಡಿಬರಹವೂ	NN.unk....	ಅಡಿಬರಹವೂ.
ಇದೆ..	UNK	ಇದೆ...
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಚಿತ್ರವನ್ನು	NN.n.n.sg..o	ಚಿತ್ರ.ಅನ್ನು
ರಾಜಶೇಖರ್‌	UNK	ರಾಜಶೇಖರ್‌.
ಕಥೆ,	UNK	ಕಥೆ,.
ಚಿತ್ರಕಥೆ	NN.unk....	ಚಿತ್ರಕಥೆ.
ಬರೆದು	VM.v.any.any.any.	ಬರೆ.ದು
ನಿರ್ದೇಶಿಸುತ್ತಿದ್ದಾರೆ.	UNK	ನಿರ್ದೇಶಿಸುತ್ತಿದ್ದಾರೆ..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಹಿಂದೆ	NST.avy....	ಹಿಂದೆ.
"ಈ	UNK	"ಈ.
ಸಂಭಾಷಣೆ'	UNK	ಸಂಭಾಷಣೆ'.
ಚಿತ್ರ	NN.n.n.sg..d	ಚಿತ್ರ.0
ನಿರ್ದೇಶಿಸಿದ್ದ	VM.v.any.any.any.	ನಿರ್ದೇಶಿಸು.ಇದ್ದ
ರಾಜಶೇಖರ್‌ಗೆ	UNK	ರಾಜಶೇಖರ್‌ಗೆ.
ಇದು	PRP.n.n.sg..d	ಇದು.0
ಎರಡನೇ	QO.avy....	ಎರಡನೇ.
ಸಿನಿಮಾ.	UNK	ಸಿನಿಮಾ..
.	SYM.punc....	..


ಇನ್ನು,	UNK	ಇನ್ನು,.
ಎಚ್‌.ಎಲ್‌.	UNK	ಎಚ್‌.ಎಲ್‌..
.	SYM.punc....	..


ಎನ್‌.	UNK	ಎನ್‌..
.	SYM.punc....	..


ರಾಜ್‌	UNK	ರಾಜ್‌.
ಈ	DEM.avy....	ಈ.
ಚಿತ್ರವನ್ನು	NN.n.n.sg..o	ಚಿತ್ರ.ಅನ್ನು
ನಿರ್ಮಾಣ	NN.n.n.sg..d	ನಿರ್ಮಾಣ.0
ಮಾಡುತ್ತಿದ್ದಾರೆ.	UNK	ಮಾಡುತ್ತಿದ್ದಾರೆ..
.	SYM.punc....	..


"ಪಂಟ'	UNK	"ಪಂಟ'.
ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ನಾಯಕಿ	NN.n.f.sg.3.d	ನಾಯಕಿ.0
ರಿತೀಕ್ಷಾ	UNK	ರಿತೀಕ್ಷಾ.
ಇಲ್ಲಿ	NST.avy....	ಇಲ್ಲಿ.
ವಿಜಯ್‌	UNK	ವಿಜಯ್‌.
ರಾಘವೇಂದ್ರಗೆ	UNK	ರಾಘವೇಂದ್ರಗೆ.
