ಅವಳು	PRP.n.f.sg.3.d	ಅವಳು.0
ಸಂಜು.	UNK	ಸಂಜು..
.	SYM.punc....	..


ಅವನು	PRP.n.m.sg.3.d	ಅವನು.0
ಪರಶು.	UNK	ಪರಶು..
.	SYM.punc....	..


ಇಬ್ಬರದೂ	QC.unk....	ಇಬ್ಬರದೂ.
ನಿಷ್ಕಲ್ಮಶ	NN.unk....	ನಿಷ್ಕಲ್ಮಶ.
ಪ್ರೀತಿ.	UNK	ಪ್ರೀತಿ..
.	SYM.punc....	..


ಆ	DEM.avy....	ಆ.
ಪ್ರೀತಿ	NN.n.n.sg..d	ಪ್ರೀತಿ.0
ಬೆರೆತಾಗ	VM.v.any.any.any.	ಬೆರೆ.ಆಗ
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಮುಂದೆ	NST.avy....	ಮುಂದೆ.
ಬೆಟ್ಟದಷ್ಟು	NN.n.n.sg..o	ಬೆಟ್ಟ.ಅಷ್ಟು
ಕನಸುಗಳು.	UNK	ಕನಸುಗಳು..
.	SYM.punc....	..


ಇಬ್ಬರೂ	QC.avy....	ಇಬ್ಬರೂ.
ಭವಿಷ್ಯದಲ್ಲಿ	NN.n.n.sg..o	ಭವಿಷ್ಯ.ಅಲ್ಲಿ
ಮದ್ವೆಯಾಗಿ	RB.unk....	ಮದ್ವೆಯಾಗಿ.
ಸುಂದರ	JJ.unk....	ಸುಂದರ.
ಬದುಕನ್ನು	NN.n.n.sg..o	ಬದುಕು.ಅನ್ನು
ಹೇಗೆಲ್ಲಾ	VM.unk....	ಹೇಗೆಲ್ಲಾ.
ಕಟ್ಟಿಕೊಳ್ಳಬೇಕೆಂಬ	UNK	ಕಟ್ಟಿಕೊಳ್ಳಬೇಕೆಂಬ.
ತುಂಟ	NN.avy....	ತುಂಟ.
ಮಾತುಗಳ	NN.n.n.pl..o	ಮಾತು.ಅ
ಅಬ್ಬರದಲ್ಲೇ	UNK	ಅಬ್ಬರದಲ್ಲೇ.
ಮುಳುಗಿರುತ್ತಾರೆ.	UNK	ಮುಳುಗಿರುತ್ತಾರೆ..
.	SYM.punc....	..


ಪ್ರೇಮಶಿಖರದಿ	UNK	ಪ್ರೇಮಶಿಖರದಿ.
ತೇಲುವ	VM.v.any.any.any.	ತೇಲು.ವ
ಸಂಜು	NN.unk....	ಸಂಜು.
ಮತ್ತು	CC.avy....	ಮತ್ತು.
ಪರಶು	NNP.n.n.sg..d	ಪರಶು.0
ನಡುವಿನ	NST.n.n.sg..o	ನಡುವು.ಅ
ಪ್ರೀತಿಯ	NN.n.n.sg..o	ಪ್ರೀತಿ.ಅ
ಮಾತುಗಳಿಗೆ	NN.n.n.pl..o	ಮಾತು.ಇಗೆ
ಹೊಟ್ಟೆ	NN.n.n.sg..d	ಹೊಟ್ಟೆ.0
ಕಿಚ್ಚುಪಡದವರಿಲ್ಲ.	UNK	ಕಿಚ್ಚುಪಡದವರಿಲ್ಲ..
.	SYM.punc....	..


ಎಲ್ಲ	JJ.n.n.sg..d	ಎಲ್ಲ.0
ಎಲ್ಲೆಗಳನ್ನು	NN.n.n.pl..o	ಎಲ್ಲೆ.ಅನ್ನು
ಮೀರಿ,	UNK	ಮೀರಿ,.
ಪ್ರೀತಿಗೆ	NN.n.n.sg..o	ಪ್ರೀತಿ.ಇಗೆ
ಅಂಟಿಕೊಂಡ	UNK	ಅಂಟಿಕೊಂಡ.
ಆ	DEM.avy....	ಆ.
ಎರಡು	QC.n.n.sg..d	ಎರಡು.0
ಹೃದಯಗಳ	NN.n.n.pl..o	ಹೃದಯ.ಅ
ಮಾತುಕತೆಯನ್ನೊಮ್ಮೆ	UNK	ಮಾತುಕತೆಯನ್ನೊಮ್ಮೆ.
