ಎರಡನೇ	QO.avy....	ಎರಡನೇ.
ಸಲ	NN.n.n.sg..d	ಸಲ.0
ಎಡವಿದ್ದಲ್ಲ,	UNK	ಎಡವಿದ್ದಲ್ಲ,.
ತಡವಿದ್ದು.	UNK	ತಡವಿದ್ದು..
.	SYM.punc....	..


ಆರು	QC.n.n.sg..d	ಆರು.0
ವರ್ಷ	NN.n.n.sg..d	ವರ್ಷ.0
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಜೊತೆಗೆ	UNK	ಜೊತೆಗೆ.
ಕಳೆದಿದ್ದೀನಿ	UNK	ಕಳೆದಿದ್ದೀನಿ.
ನಾನು.	UNK	ನಾನು..
.	SYM.punc....	..


ಒಬ್ಬೊಬ್ಬರದ್ದು	UNK	ಒಬ್ಬೊಬ್ಬರದ್ದು.
ಒಂದು	QC.n.n.sg..d	ಒಂದು.0
ಸ್ಟೈಲ್‌	UNK	ಸ್ಟೈಲ್‌.
ಇರುತ್ತೆ.	UNK	ಇರುತ್ತೆ..
.	SYM.punc....	..


ಹಾಗೆಯೇ	CC.avy....	ಹಾಗೆಯೇ.
ಗುರುಪ್ರಸಾದ್‌	UNK	ಗುರುಪ್ರಸಾದ್‌.
ಅವರದ್ದು	PRP.n.f.pl.3.o	ಅವಳು.ಅದ್ದು
ಒಂದು	QC.n.n.sg..d	ಒಂದು.0
ಸ್ಟೈಲ್‌..	UNK	ಸ್ಟೈಲ್‌...
.	SYM.punc....	..


"ಹೋಂ	UNK	"ಹೋಂ.
ಪಿಚ್‌°ಲ್ಲಿ	UNK	ಪಿಚ್‌°ಲ್ಲಿ.
ಕ್ರಿಕೆಟ್‌	UNK	ಕ್ರಿಕೆಟ್‌.
ಆಡಿದಂಗೆ	UNK	ಆಡಿದಂಗೆ.
...'ಬೇರೆಯವರು	UNK	...'ಬೇರೆಯವರು.
ಗುರುಪ್ರಸಾದ್‌	UNK	ಗುರುಪ್ರಸಾದ್‌.
ಜೊತೆಗೆ	UNK	ಜೊತೆಗೆ.
ಕೆಲಸ	NN.n.n.sg..d	ಕೆಲಸ.0
ಮಾಡುವುದನ್ನ	VM.unk....	ಮಾಡುವುದನ್ನ.
ಯಾವುದಕ್ಕೆ	PRP.n.n.sg..o	ಯಾವುದು.ಇಗೆ
ಹೋಲಿಸುತ್ತಾರೋ	UNK	ಹೋಲಿಸುತ್ತಾರೋ.
ಗೊತ್ತಿಲ್ಲ.	UNK	ಗೊತ್ತಿಲ್ಲ..
.	SYM.punc....	..


ಆದರೆ,	UNK	ಆದರೆ,.
