ತುಂಬಾ	INTF.avy....	ತುಂಬಾ.
ದಿನಗಳಿಂದ	NN.n.n.pl..o	ದಿನ.ಇಂದ
ತುಳು	NN.n.n.sg..d	ತುಳು.0
ಚಿತ್ರರಂಗದಲ್ಲಿ	NN.unk....	ಚಿತ್ರರಂಗದಲ್ಲಿ.
"ಪಿಲಿಬೈಲ್‌	UNK	"ಪಿಲಿಬೈಲ್‌.
ಯಮುನಕ್ಕ'	UNK	ಯಮುನಕ್ಕ'.
ಸಿನಿಮಾದ	NN.n.n.sg..o	ಸಿನಿಮಾ.ಅ
ಸುದ್ದಿ	NN.n.n.sg..d	ಸುದ್ದಿ.0
ಕೇಳುತ್ತಲೇ	VM.v.any.any.any.	ಕೇಳು.ತ್ತಲೇ
ಇದೆ.	UNK	ಇದೆ..
.	SYM.punc....	..


ನಾನಾ	JJ.avy....	ನಾನಾ.
ವಿಷಯಗಳಿಗಾಗಿ	NN.n.n.pl..o	ವಿಷಯ.ಗಾಗಿ
ಕುತೂಹಲ	NN.n.n.sg..d	ಕುತೂಹಲ.0
ಹುಟ್ಟಿಸಿದ್ದ	VM.v.any.any.any.	ಹುಟ್ಟಿಸು.ಇದ್ದ
ಈ	DEM.avy....	ಈ.
ಚಿತ್ರದಲ್ಲಿ	NN.n.n.sg..o	ಚಿತ್ರ.ಅಲ್ಲಿ
ಏನಿದೆ	WQ.unk....	ಏನಿದೆ.
ಎಂದು	PRP.avy....	ಎಂದು.
ನೋಡುವ	VM.v.any.any.any.	ನೋಡು.ವ
ಸಮಯ	NN.n.n.sg..d	ಸಮಯ.0
ಈಗ	NST.avy....	ಈಗ.
ಬಂದಿದೆ.	UNK	ಬಂದಿದೆ..
.	SYM.punc....	..


ಹೌದು,	UNK	ಹೌದು,.
"ಪಿಲಿಬೈಲ್‌	UNK	"ಪಿಲಿಬೈಲ್‌.
ಯಮುನಕ್ಕ'	UNK	ಯಮುನಕ್ಕ'.
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಇಂದು	NST.n.n.sg..d	ಇಂದು.0
ಬಿಡುಗಡೆಯಾಗುತ್ತಿದೆ.	UNK	ಬಿಡುಗಡೆಯಾಗುತ್ತಿದೆ..
.	SYM.punc....	..


ಸುಮಾರು	JJ.avy....	ಸುಮಾರು.
12ಕ್ಕೂ	UNK	12ಕ್ಕೂ.
ಹೆಚ್ಚು	QF.v..sg.2.	ಹೆಚ್ಚು.0
ಚಿತ್ರಮಂದಿರಗಳಲ್ಲಿ	NN.n.n.pl..o	ಚಿತ್ರಮಂದಿರ.ಅಲ್ಲಿ
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಬಿಡುಗಡೆಯಾಗುತ್ತಿದ್ದು,	UNK	ಬಿಡುಗಡೆಯಾಗುತ್ತಿದ್ದು,.
ಜನ	NN.n.m.sg.3.d	ಜನ.0
ಸಿನಿಮಾವನ್ನು	NN.n.n.sg..o	ಸಿನಿಮಾ.ಅನ್ನು
ಇಷ್ಟಪಡುವ	VM.unk....	ಇಷ್ಟಪಡುವ.
ವಿಶ್ವಾಸ	NN.n.n.sg..d	ವಿಶ್ವಾಸ.0
ಚಿತ್ರತಂಡಕ್ಕಿದೆ.	UNK	ಚಿತ್ರತಂಡಕ್ಕಿದೆ..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಚಿತ್ರವನ್ನು	NN.n.n.sg..o	ಚಿತ್ರ.ಅನ್ನು
ಸೂರಜ್‌	UNK	ಸೂರಜ್‌.
ಶೆಟ್ಟಿ	NN.n.m.sg.3.d	ಶೆಟ್ಟಿ.0
ನಿರ್ದೇಶಿಸಿದ್ದು,	UNK	ನಿರ್ದೇಶಿಸಿದ್ದು,.
ರೋಹನ್‌	UNK	ರೋಹನ್‌.
ಶೆಟ್ಟಿ	NN.n.m.sg.3.d	ಶೆಟ್ಟಿ.0
ನಿರ್ಮಿಸಿದ್ದಾರೆ.	UNK	ನಿರ್ಮಿಸಿದ್ದಾರೆ..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಹಿಂದೆ	NST.avy....	ಹಿಂದೆ.
"ಎಕ್ಕಸಕ್ಕ'	UNK	"ಎಕ್ಕಸಕ್ಕ'.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ಯಶಸ್ವಿ	JJ.avy....	ಯಶಸ್ವಿ.
ಚಿತ್ರವನ್ನು	NN.n.n.sg..o	ಚಿತ್ರ.ಅನ್ನು
ಕೊಟ್ಟ	UNK	ಕೊಟ್ಟ.
ತಂಡ	NN.n.n.sg..d	ತಂಡ.0
ಈಗ	NST.avy....	ಈಗ.
"ಪಿಲಿಬೈಲ್‌	UNK	"ಪಿಲಿಬೈಲ್‌.
ಯಮುನಕ್ಕ'	UNK	ಯಮುನಕ್ಕ'.
ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ಮೂಲಕ	RB.n.n.sg..d	ಮೂಲಕ.0
ಒಂದಾಗಿದೆ.	UNK	ಒಂದಾಗಿದೆ..
.	SYM.punc....	..


.	SYM.punc....	..
.	SYM.punc....	..


"ಪಿಲಿಬೈಲ್‌	UNK	"ಪಿಲಿಬೈಲ್‌.
ಯಮುನಕ್ಕ'	UNK	ಯಮುನಕ್ಕ'.
ಒಂದು	QC.n.n.sg..d	ಒಂದು.0
ಮಹಿಳಾ	NN.unk....	ಮಹಿಳಾ.
ಪ್ರಧಾನವಾದ	JJ.unk....	ಪ್ರಧಾನವಾದ.
ಚಿತ್ರವಾಗಿದ್ದು,	UNK	ಚಿತ್ರವಾಗಿದ್ದು,.
ಗಂಭೀರ	JJ.unk....	ಗಂಭೀರ.
ವಿಷಯದ	NN.n.n.sg..o	ವಿಷಯ.ಅ
ಜೊತೆಗೆ	UNK	ಜೊತೆಗೆ.
ಕಾಮಿಡಿಯನ್ನು	UNK	ಕಾಮಿಡಿಯನ್ನು.
ಸೇರಿಸಲಾಗಿದೆ.	UNK	ಸೇರಿಸಲಾಗಿದೆ..
.	SYM.punc....	..


ಇದೊಂದು	UNK	ಇದೊಂದು.
ಪಕ್ಕಾ	NN.avy....	ಪಕ್ಕಾ.
ಫ್ಯಾಮಿಲಿ	NN.unk....	ಫ್ಯಾಮಿಲಿ.
ಎಂಟರ್‌ಟೈನರ್‌	UNK	ಎಂಟರ್‌ಟೈನರ್‌.
ಸಿನಿಮಾವಾಗಿರುವುದರಿಂದ	UNK	ಸಿನಿಮಾವಾಗಿರುವುದರಿಂದ.
ಎಲ್ಲಾ	JJ.avy....	ಎಲ್ಲಾ.
ವರ್ಗದ	NN.n.n.sg..o	ವರ್ಗ.ಅ
ಜನರಿಗೂ	NN.unk....	ಜನರಿಗೂ.
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಹಿಡಿಸುತ್ತದೆಂಬ	UNK	ಹಿಡಿಸುತ್ತದೆಂಬ.
ವಿಶ್ವಾಸ	NN.n.n.sg..d	ವಿಶ್ವಾಸ.0
ನಿರ್ಮಾಪಕ	JJ.n.m.sg.3.d	ನಿರ್ಮಾಪಕ.0
ರೋಹನ್‌	UNK	ರೋಹನ್‌.
ಶೆಟ್ಟಿಗಿದೆ.	UNK	ಶೆಟ್ಟಿಗಿದೆ..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
