ಮಂಗಳೂರು	NNP.unk....	ಮಂಗಳೂರು.
:	SYM.punc....	:.
ಇಂದು	NST.n.n.sg..d	ಇಂದು.0
ಬುಧವಾರ	NNP.n.n.sg..d	ಬುಧವಾರ.0
ನಸುಕಿನ	NN.n.n.sg..o	ನಸುಕು.ಅ
ವೇಳೆ	NN.n.n.sg..d	ವೇಳೆ.0
ನಗರದ	NN.n.n.sg..o	ನಗರ.ಅ
ಲೇಡಿಹಿಲ್‌	UNK	ಲೇಡಿಹಿಲ್‌.
ವೃತ್ತದ	NN.n.n.sg..o	ವೃತ್ತ.ಅ
ಬಳಿ	NN.n.n.sg..d	ಬಳಿ.0
ಕರ್ತವ್ಯನಿರತರಾಗಿದ್ದ	VM.unk....	ಕರ್ತವ್ಯನಿರತರಾಗಿದ್ದುನ್ಕ್.
ಉರ್ವಾ	NN.unk....	ಉರ್ವಾ.
ಠಾಣೆಯ	NN.n.n.sg..o	ಠಾಣೆ.ಅ
ಎಎಸ್‌ಐ	UNK	ಎಎಸ್‌ಐ.
ಐತಪ್ಪ	UNK	ಐತಪ್ಪ.
ಅವರನ್ನು	PRP.n.f.pl.3.o	ಅವಳು.ಅನ್ನು
ದುಷ್ಕರ್ಮಿಗಳು	NN.n.m.pl.3.d	ದುಷ್ಕರ್ಮಿ.0
ಕಬ್ಬಿಣದ	NN.n.n.sg..o	ಕಬ್ಬಿಣ.ಅ
ಸರಳಿನಿಂದ	NN.n.n.sg..o	ಸರಳು.ಇಂದ
ಗಂಭೀರವಾಗಿ	RB.unk....	ಗಂಭೀರವಾಗಿ.
ಹಲ್ಲೆ	NN.n.n.sg..d	ಹಲ್ಲೆ.0
ನಡೆಸಿರುವ	VM.v.any.any.any.	ನಡೆಸು.ಇರುವ
ಘಟನೆ	NN.n.n.sg..d	ಘಟನೆ.0
ವರದಿಯಾಗಿದೆ..	UNK	ವರದಿಯಾಗಿದೆ...
.	SYM.punc....	..


ಇಂದು	NST.n.n.sg..d	ಇಂದು.0
ನಸುಕಿನ	NN.n.n.sg..o	ನಸುಕು.ಅ
ಸುಮಾರು	JJ.avy....	ಸುಮಾರು.
3.30ರ	QC.num....	3.30ರ.
ವೇಳೆಗೆ	NN.n.n.sg..o	ವೇಳೆ.ಇಗೆ
ಬೈಕಿನಲ್ಲಿ	NN.unk....	ಬೈಕಿನಲ್ಲಿ.
ಬಂದಿದ್ದ	VM.v.any.any.any.	ಬರು.ಇದ್ದ
 ಇಬ್ಬರು	UNK	 ಇಬ್ಬರು.
ದುಷ್ಕರ್ಮಿಗಳು	NN.n.m.pl.3.d	ದುಷ್ಕರ್ಮಿ.0
ಎಎಸ್‌ಐ	UNK	ಎಎಸ್‌ಐ.
ಐತಪ್ಪ	UNK	ಐತಪ್ಪ.
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಮೇಲೆ	NST.n.n.sg..d	ಮೇಲೆ.0
ಗಂಭೀರ	JJ.unk....	ಗಂಭೀರ.
ಹಲ್ಲೆ	NN.n.n.sg..d	ಹಲ್ಲೆ.0
ನಡೆಸಿ	VM.v..pl.2.	ನಡೆಸು.0
ಪರಾರಿಯಾದರು..	UNK	ಪರಾರಿಯಾದರು...
.	SYM.punc....	..


ಹಲ್ಲೆಗೀಡಾಗಿ	UNK	ಹಲ್ಲೆಗೀಡಾಗಿ.
ತಲೆಗೆ	NN.n.n.sg..o	ತಲೆ.ಇಗೆ
ಗಂಭೀರ	JJ.unk....	ಗಂಭೀರ.
ಏಟು	NN.n.n.sg..d	ಏಟು.0
ಪಡೆದಿರುವ	VM.v.any.any.any.	ಪಡೆ.ಇರುವ
ಐತಪ್ಪ	UNK	ಐತಪ್ಪ.
ಅವರನ್ನು	PRP.n.f.pl.3.o	ಅವಳು.ಅನ್ನು
ತತ್‌ಕ್ಷಣವೇ	UNK	ತತ್‌ಕ್ಷಣವೇ.
