ನಿರ್ಮಾಪಕ	JJ.n.m.sg.3.d	ನಿರ್ಮಾಪಕ.0
"ಕೋಟಿ'	UNK	"ಕೋಟಿ'.
ರಾಮು	NNP.unk....	ರಾಮು.
ಎಲ್ಲೋ	NN.avy....	ಎಲ್ಲೋ.
ಕಳೆದುಹೋಗಿಬಿಟ್ರಾ!ಈ	UNK	ಕಳೆದುಹೋಗಿಬಿಟ್ರಾ!ಈ.
 ಮಾತು	UNK	 ಮಾತು.
ಗಾಂಧಿನಗರದಲ್ಲಿ	NNP.unk....	ಗಾಂಧಿನಗರದಲ್ಲಿ.
ಸುಳಿದಾಡುತ್ತಿದ್ದದ್ದು	UNK	ಸುಳಿದಾಡುತ್ತಿದ್ದದ್ದು.
ನಿಜ.	UNK	ನಿಜ..
.	SYM.punc....	..


ಆದರೆ,	UNK	ಆದರೆ,.
ರಾಮು	NNP.unk....	ರಾಮು.
ಮಾತ್ರ	RP.n.n.sg..d	ಮಾತ್ರ.0
ಗಾಂಧಿನಗರ	NNP.unk....	ಗಾಂಧಿನಗರ.
ಬಿಟ್ಟು	VM.v.any.any.any.	ಬಿಡು.ದು
ಹೋಗುವ	VM.v.any.any.any.	ಹೋಗು.ವ
ಜಾಯಮಾನದವರಲ್ಲ	NN.unk....	ಜಾಯಮಾನದವರಲ್ಲ.
ಬಿಡಿ.	UNK	ಬಿಡಿ..
.	SYM.punc....	..


ಸೋಲು-ಗೆಲುವು	UNK	ಸೋಲು-ಗೆಲುವು.
ಏನೇ	NN.avy....	ಏನೇ.
ಇರಲಿ,	UNK	ಇರಲಿ,.
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಮಾಡಿಕೊಂಡೇ	UNK	ಮಾಡಿಕೊಂಡೇ.
ಬಂದಿದ್ದಾರೆ.	UNK	ಬಂದಿದ್ದಾರೆ..
.	SYM.punc....	..


ಆದರೆ,	UNK	ಆದರೆ,.
ಇತ್ತೀಚೆಗೆ	NST.avy....	ಇತ್ತೀಚೆಗೆ.
ಸ್ವಲ್ಪ	QF.n.n.sg..d	ಸ್ವಲ್ಪ.0
ಗ್ಯಾಪ್‌	UNK	ಗ್ಯಾಪ್‌.
ಮಾಡಿದ್ದು	VM.v.any.any.any.	ಮಾಡು.ಅದ್ದು
ನಿಜ.	UNK	ನಿಜ..
.	SYM.punc....	..


ಹಾಗಾಗಿ	RB.avy....	ಹಾಗಾಗಿ.
ಬಹುತೇಕರಿಗೆ	NN.unk....	ಬಹುತೇಕರಿಗೆ.
ರಾಮು	NNP.unk....	ರಾಮು.
ಬಗ್ಗೆ	NN.avy....	ಬಗ್ಗೆ.
ಅಂಥದ್ದೊಂದು	JJ.unk....	ಅಂಥದ್ದೊಂದು.
ಮಾತುಗಳು	NN.n.n.pl..d	ಮಾತು.0
ಕೇಳಿಬಂದಿದ್ದುಂಟು.	UNK	ಕೇಳಿಬಂದಿದ್ದುಂಟು..
.	SYM.punc....	..


ಲೇಟ್‌	UNK	ಲೇಟ್‌.
ಆಗಿದ್ದರೂ,	UNK	ಆಗಿದ್ದರೂ,.
ಈಗ	NST.avy....	ಈಗ.
ಲೇಟೆಸ್ಟ್‌	UNK	ಲೇಟೆಸ್ಟ್‌.
ಆಗಿ	VM.v..pl.2.	ಆಗು.0
ಸಿನಿಮಾವೊಂದನ್ನು	UNK	ಸಿನಿಮಾವೊಂದನ್ನು.
ಮುಗಿಸಿ,	UNK	ಮುಗಿಸಿ,.
ಈ	DEM.avy....	ಈ.
ವಾರ	NN.n.n.sg..d	ವಾರ.0
ರಿಲೀಸ್‌	UNK	ರಿಲೀಸ್‌.
ಮಾಡುತ್ತಿದ್ದಾರೆ.	UNK	ಮಾಡುತ್ತಿದ್ದಾರೆ..
.	SYM.punc....	..


ತುಂಬಾ	INTF.avy....	ತುಂಬಾ.
ಇಷ್ಟ-ಕಷ್ಟಗಳ	UNK	ಇಷ್ಟ-ಕಷ್ಟಗಳ.
ನಡುವೆ	NST.avy....	ನಡುವೆ.
ಮಾಡಿರುವ	VM.v.any.any.any.	ಮಾಡು.ಇರುವ
"ಮುಂಬೈ.'	UNK	"ಮುಂಬೈ.'.
ಅವರ	PRP.n.f.pl.3.o	ಅವಳು.ಅ
ಬ್ಯಾನರ್‌ನ	UNK	ಬ್ಯಾನರ್‌ನ.
 36	UNK	 36.
ನೇ	UNK	ನೇ.
ಚಿತ್ರ.	UNK	ಚಿತ್ರ..
.	SYM.punc....	..


ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ಶೀರ್ಷಿಕೆ	NN.n.n.sg..d	ಶೀರ್ಷಿಕೆ.0
ಕೇಳಿದರೆ	VM.v.any.any.any.	ಕೇಳು.ಅರೆ
ಅದೊಂದು	UNK	ಅದೊಂದು.
