ಕನ್ನಡದ	NNP.n.n.sg..o	ಕನ್ನಡ.ಅ
ನಟಿಮಣಿಗಳಿಗೀಗ	UNK	ನಟಿಮಣಿಗಳಿಗೀಗ.
ಕಿರುಚಿತ್ರಗಳ	NN.unk....	ಕಿರುಚಿತ್ರಗಳ.
ಮೇಲೆ	NST.n.n.sg..d	ಮೇಲೆ.0
ಅತಿಯಾದ	JJ.unk....	ಅತಿಯಾದ.
ಪ್ರೀತಿ	NN.n.n.sg..d	ಪ್ರೀತಿ.0
ಹೆಚ್ಚಾಗಿದೆ.	UNK	ಹೆಚ್ಚಾಗಿದೆ..
.	SYM.punc....	..


ಹೌದು,	UNK	ಹೌದು,.
ಇತ್ತೀಚೆಗಷ್ಟೇ	NST.unk....	ಇತ್ತೀಚೆಗಷ್ಟೇ.
ಶ್ರುತಿಹರಿಹರನ್‌	UNK	ಶ್ರುತಿಹರಿಹರನ್‌.
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
ರಚಿತಾರಾಮ್‌	UNK	ರಚಿತಾರಾಮ್‌.
ಇವರಿಬ್ಬರೂ	PRP.unk....	ಇವರಿಬ್ಬರೂ.
ಕಿರುಚಿತ್ರಗಳನ್ನು	NN.unk....	ಕಿರುಚಿತ್ರಗಳನ್ನು.
ನಿರ್ಮಿಸುವುದರ	VM.unk....	ನಿರ್ಮಿಸುವುದರ.
ಮೂಲಕ	RB.n.n.sg..d	ಮೂಲಕ.0
ತಾವೂ	NN.unk....	ತಾವೂ.
ನಿರ್ಮಾಪಕರು	NN.n.m.pl.3.d	ನಿರ್ಮಾಪಕ.0
ಎಂದೆನಿಸಿಕೊಂಡಿದ್ದಾರೆ.	UNK	ಎಂದೆನಿಸಿಕೊಂಡಿದ್ದಾರೆ..
.	SYM.punc....	..


ಇನ್ನು,	UNK	ಇನ್ನು,.
"ರಂಗಿತರಂಗ'	UNK	"ರಂಗಿತರಂಗ'.
ಚಿತ್ರದ	NN.n.n.sg..o	ಚಿತ್ರ.ಅ
ನಾಯಕಿಯಾಗಿದ್ದ	VM.unk....	ನಾಯಕಿಯಾಗಿದ್ದ.
ರಾಧಿಕಾ	NN.unk....	ರಾಧಿಕಾ.
ಚೇತನ್‌	UNK	ಚೇತನ್‌.
ಕೂಡ	RP.avy....	ಕೂಡ.
"ನೆವರ್‌	UNK	"ನೆವರ್‌.
ಎಂಡ್‌'	UNK	ಎಂಡ್‌'.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ಕಿರುಚಿತ್ರದಲ್ಲಿ	NN.unk....	ಕಿರುಚಿತ್ರದಲ್ಲಿ.
ನಟಿಸಿದ್ದಾಗಿದೆ.	UNK	ನಟಿಸಿದ್ದಾಗಿದೆ..
.	SYM.punc....	..


ಈಗ	NST.avy....	ಈಗ.
ಹೊಸ	JJ.avy....	ಹೊಸ.
ಸುದ್ದಿಯೆಂದರೆ,	UNK	ಸುದ್ದಿಯೆಂದರೆ,.
"ಯು	UNK	"ಯು.
ಟರ್ನ್'	UNK	ಟರ್ನ್'.
ಬೆಡಗಿ	NN.n.n.sg..d	ಬೆಡಗಿ.0
ಶ್ರದ್ಧಾಶ್ರೀನಾಥ್‌	UNK	ಶ್ರದ್ಧಾಶ್ರೀನಾಥ್‌.
ಕೂಡ	RP.avy....	ಕೂಡ.
ಕಿರುಚಿತ್ರದಲ್ಲಿ	NN.unk....	ಕಿರುಚಿತ್ರದಲ್ಲಿ.
ಕಾಣಿಸಿಕೊಳ್ಳುವ	UNK	ಕಾಣಿಸಿಕೊಳ್ಳುವ.
ಮೂಲಕ	RB.n.n.sg..d	ಮೂಲಕ.0
ಹೊಸಬರ	NN.unk....	ಹೊಸಬರ.
ತಂಡಕ್ಕೆ	NN.n.n.sg..o	ತಂಡ.ಇಗೆ
ಬೆಂಬಲವಾಗಿದ್ದಾರೆ.	UNK	ಬೆಂಬಲವಾಗಿದ್ದಾರೆ..
.	SYM.punc....	..


ಹಾಗೆ	CC.avy....	ಹಾಗೆ.
ನೋಡಿದರೆ,	UNK	ನೋಡಿದರೆ,.
ಶ್ರದ್ಧಾ	NN.unk....	ಶ್ರದ್ಧಾ.
ಶ್ರೀನಾಥ್‌,	UNK	ಶ್ರೀನಾಥ್‌,.
ಮೊದಲ	QO.avy....	ಮೊದಲ.
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಬಳಿಕ	RB.avy....	ಬಳಿಕ.
ಸಾಕಷ್ಟು	QF.avy....	ಸಾಕಷ್ಟು.
ಬಿಜಿಯಾಗಿದ್ದುಂಟು.	UNK	ಬಿಜಿಯಾಗಿದ್ದುಂಟು..
.	SYM.punc....	..


ಆ	DEM.avy....	ಆ.
ಬಿಜಿಯ	NN.unk....	ಬಿಜಿಯ.
ನಡುವೆಯೇ	NST.v..sg.2.	ನಡು.ಙುಟುರೇ_ಈನ್ಟ್
ಅವರು	PRP.n.f.pl.3.d	ಅವಳು.0
ಹೊಸಬರ	NN.unk....	ಹೊಸಬರ.
ಜತೆ	NN.n.n.sg..d	ಜತೆ.0
ಕಿರುಚಿತ್ರದಲ್ಲಿ	NN.unk....	ಕಿರುಚಿತ್ರದಲ್ಲಿ.
ಬಣ್ಣ	NN.n.n.sg..d	ಬಣ್ಣ.0
ಹಚ್ಚಿದ್ದಾರೆ.	UNK	ಹಚ್ಚಿದ್ದಾರೆ..
.	SYM.punc....	..


ಅಂದಹಾಗೆ,	UNK	ಅಂದಹಾಗೆ,.
ಆ	DEM.avy....	ಆ.
ಕಿರುಚಿತ್ರದ	NN.unk....	ಕಿರುಚಿತ್ರದ.
ಹೆಸರು	NN.n.n.sg..d	ಹೆಸರು.0
"ಒಂದಾನೊಂದು	UNK	"ಒಂದಾನೊಂದು.
ದಿನ'.	UNK	ದಿನ'..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಕಿರುಚಿತ್ರಕ್ಕೆ	UNK	ಕಿರುಚಿತ್ರಕ್ಕೆ.
ಸಂಚಿತ್‌	UNK	ಸಂಚಿತ್‌.
ಸಂಜೀವ್‌	UNK	ಸಂಜೀವ್‌.
ನಿರ್ದೇಶಕರು..	UNK	ನಿರ್ದೇಶಕರು...
.	SYM.punc....	..


ಸಂಚಿತ್‌	UNK	ಸಂಚಿತ್‌.
ಸಂಜೀವ್‌	UNK	ಸಂಜೀವ್‌.
ಅವರು	PRP.n.f.pl.3.d	ಅವಳು.0
ನ್ಯೂಯಾಕ್‌ìನಲ್ಲಿ	UNK	ನ್ಯೂಯಾಕ್‌ìನಲ್ಲಿ.
ಅಕಾಡೆಮಿಕ್‌	UNK	ಅಕಾಡೆಮಿಕ್‌.
ಆಗಿ	VM.v..pl.2.	ಆಗು.0
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಅಧ್ಯಯನ	NN.n.n.sg..d	ಅಧ್ಯಯನ.0
ಮಾಡಿದ್ದಾರೆ.	UNK	ಮಾಡಿದ್ದಾರೆ..
