ಮೊದಲೇ	NST.unk....	ಮೊದಲೇ.
ಕಾವೇರಿದ	VM.v.any.any.any.	ಕಾವೇರು.ಅ
ರಾಜ್ಯಕ್ಕೆ	NN.n.n.sg..o	ರಾಜ್ಯ.ಇಗೆ
ರಾಜಕೀಯ	JJ.n.n.sg..d	ರಾಜಕೀಯ.0
ಬಿಸಿ	JJ.n.n.sg..d	ಬಿಸಿ.0
ಹೆಚ್ಚಿಸಿದ	VM.v.any.any.any.	ಹೆಚ್ಚಿಸು.ಅ
ನಂಜನಗೂಡು	NNP.unk....	ನಂಜನಗೂಡು.
ಮತ್ತು	CC.avy....	ಮತ್ತು.
ಗುಂಡ್ಲುಪೇಟೆ	NNP.unk....	ಗುಂಡ್ಲುಪೇಟೆ.
ಉಪಚುನಾವಣೆಗೆ	UNK	ಉಪಚುನಾವಣೆಗೆ.
ಬಹಿರಂಗ	JJ.n.n.sg..d	ಬಹಿರಂಗ.0
ಪ್ರಚಾರ	NN.n.n.sg..d	ಪ್ರಚಾರ.0
ಶುಕ್ರವಾರ	NNP.n.n.sg..d	ಶುಕ್ರವಾರ.0
ಅಂತ್ಯವಾ	UNK	ಅಂತ್ಯವಾ.
ಗಿದೆ.	UNK	ಗಿದೆ..
.	SYM.punc....	..


ಈಗ	NST.avy....	ಈಗ.
ರಾಜಕೀಯ	JJ.n.n.sg..d	ರಾಜಕೀಯ.0
ಲೆಕ್ಕಾಚಾರಗಳು	NN.n.n.pl..d	ಲೆಕ್ಕಾಚಾರ.0
ಆರಂಭವಾಗಿವೆ.	UNK	ಆರಂಭವಾಗಿವೆ..
.	SYM.punc....	..


ಆಡಳಿತಾರೂಢ	NN.unk....	ಆಡಳಿತಾರೂಢ.
ಕಾಂಗ್ರೆಸ್‌ ಮತ್ತು	UNK	ಕಾಂಗ್ರೆಸ್‌ ಮತ್ತು.
ಬಿಜೆಪಿಗೆ	NN.unk....	ಬಿಜೆಪಿಗೆ.
ಅಗತ್ಯಕ್ಕಿಂತ	NN.n.n.sg..o	ಅಗತ್ಯ.ಇಗಿಂತ
ಹೆಚ್ಚೇ	QF.v.any.any.any.	ಹೆಚ್ಚು.ಏ
ಪ್ರತಿಷ್ಠೆಯಾಗಿಬಿಟ್ಟಿರುವ	UNK	ಪ್ರತಿಷ್ಠೆಯಾಗಿಬಿಟ್ಟಿರುವ.
ಈ	DEM.avy....	ಈ.
ಚುನಾವಣೆಯಲ್ಲಿ	NN.n.n.sg..o	ಚುನಾವಣೆ.ಅಲ್ಲಿ
ಗೆಲ್ಲುವವರು	NN.v.any.any.any.	ಗೆಲ್ಲು.ವವರು
ಮತ್ತು	CC.avy....	ಮತ್ತು.
ಸೋಲುವವರು	UNK	ಸೋಲುವವರು.
ಬರಿ	JJ.n.n.sg..d	ಬರಿ.0
ಅಭ್ಯರ್ಥಿಗಳಲ್ಲ.	UNK	ಅಭ್ಯರ್ಥಿಗಳಲ್ಲ..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಚುನಾವಣೆಯಲ್ಲಿ	NN.n.n.sg..o	ಚುನಾವಣೆ.ಅಲ್ಲಿ
ತಮ್ಮನ್ನೇ	PRP.unk....	ತಮ್ಮನ್ನೇ.
ತಾವು	PRP.n.n.sg..d	ತಾವು.0
ಮುಡಿಪಾಗಿಟ್ಟುಕೊಂಡು	UNK	ಮುಡಿಪಾಗಿಟ್ಟುಕೊಂಡು.
ಪ್ರತಿಷ್ಠೆಯನ್ನೇ	UNK	ಪ್ರತಿಷ್ಠೆಯನ್ನೇ.
ಅಡವಿಟ್ಟಿರುವ	UNK	ಅಡವಿಟ್ಟಿರುವ.
ಐವರು	NN.n.m.sg.3.d	ಐವರು.0
ರಾಜಕೀಯ	JJ.n.n.sg..d	ರಾಜಕೀಯ.0
ನಾಯಕರ	NN.n.m.pl.3.o	ನಾಯಕ.ಅ
ಗೆಲುವು	NN.n.n.sg..d	ಗೆಲುವು.0
ಸೋಲಿನ	NN.n.n.sg..o	ಸೋಲು.ಅ
ಲೆಕ್ಕಾಚಾರವೂ	NN.n.n.sg..d	ಲೆಕ್ಕಾಚಾರ.0
ಇಲ್ಲಿದೆ.	UNK	ಇಲ್ಲಿದೆ..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಫ‌ಲಿತಾಂಶದ	UNK	ಫ‌ಲಿತಾಂಶದ.
ಹಿಂದೆ	NST.avy....	ಹಿಂದೆ.
ಯಾರ್ಯಾರ	PRP.unk....	ಯಾರ್ಯಾರ.
ರಾಜಕೀಯ	JJ.n.n.sg..d	ರಾಜಕೀಯ.0
ಭವಿಷ್ಯ	NN.n.n.sg..d	ಭವಿಷ್ಯ.0
ಅಡಗಿದೆ	VM.v..sg.2.	ಅಡಗು.ಇದ್
ಎಂಬ	PRP.unk....	ಎಂಬ.
ವಿಶ್ಲೇಷಣೆ	NN.n.n.sg..d	ವಿಶ್ಲೇಷಣೆ.0
ಇಲ್ಲಿದೆ..	UNK	ಇಲ್ಲಿದೆ...
.	SYM.punc....	..


ಸಿದ್ದರಾಮಯ್ಯಗೆದ್ದರೆ: -ಪಕ್ಷದಲ್ಲಿ	UNK	ಸಿದ್ದರಾಮಯ್ಯಗೆದ್ದರೆ: -ಪಕ್ಷದಲ್ಲಿ.
ಪ್ರಶ್ನಾತೀತ	JJ.unk....	ಪ್ರಶ್ನಾತೀತ.
ನಾಯಕ -ಮುಂದಿನ	UNK	ನಾಯಕ -ಮುಂದಿನ.
ಚುನಾ	NN.unk....	ಚುನಾ.
ವಣೆ	NN.unk....	ವಣೆ.
ಯಲ್ಲಿ	PRP.unk....	ಯಲ್ಲಿ.
ಖಚಿತ	JJ.unk....	ಖಚಿತ.
ನಾಯಕತ್ವ‌ -ಅಭ್ಯರ್ಥಿಗಳ	UNK	ನಾಯಕತ್ವ‌ -ಅಭ್ಯರ್ಥಿಗಳ.
ಆಯ್ಕೆ	NN.n.n.sg..d	ಆಯ್ಕೆ.0
ಯಲ್ಲಿ	NN.unk....	ಯಲ್ಲಿ.
ಪ್ರಾಮುಖ್ಯತೆ -ಸರ್ಕಾರಕ್ಕೆ	UNK	ಪ್ರಾಮುಖ್ಯತೆ -ಸರ್ಕಾರಕ್ಕೆ.
ಜನಮನ್ನಣೆ	NN.n.n.sg..d	ಜನಮನ್ನಣೆ.0
ಇದೆ	VM.avy....	ಇದೆ.
ಎನ್ನಲು	VM.v.any.any.any.	ಎನ್ನು.ಅಲು
ಸಾಧ್ಯ -ಕೆಪಿಸಿಸಿ	UNK	ಸಾಧ್ಯ -ಕೆಪಿಸಿಸಿ.
ಅಧ್ಯಕ್ಷರ	NN.n.m.pl.3.o	ಅಧ್ಯಕ್ಷ.ಅ
ಆಯ್ಕೆ	NN.n.n.sg..d	ಆಯ್ಕೆ.0
ಅಧಿಕಾರ.	UNK	ಅಧಿಕಾರ..
.	SYM.punc....	..


ಸೋತರೆ: -ಆಡಳಿತ	UNK	ಸೋತರೆ: -ಆಡಳಿತ.
ವಿರೋಧಿ	NN.n.m.sg.3.d	ವಿರೋಧಿ.0
ಅಲೆ	NN.n.n.sg..d	ಅಲೆ.0
ಸಾಬೀತು -ಪಕ್ಷದೊಳಗೆ	UNK	ಸಾಬೀತು -ಪಕ್ಷದೊಳಗೆ.
ಬಲ	NN.n.n.sg..d	ಬಲ.0
ಕುಸಿತ -ಮುಂದಿನ	UNK	ಕುಸಿತ -ಮುಂದಿನ.
ಚುನಾವಣೆ	NN.n.n.sg..d	ಚುನಾವಣೆ.0
ಮೇಲೆ	NST.n.n.sg..d	ಮೇಲೆ.0
ಪರಿಣಾಮ-ಅಹಿಂದ	UNK	ಪರಿಣಾಮ-ಅಹಿಂದ.
ವರ್ಗ	NN.n.n.sg..d	ವರ್ಗ.0
ಪಕ್ಷದಿಂದ	NN.n.n.sg..o	ಪಕ್ಷ.ಇಂದ
ದೂರವಾಗುತ್ತಿರುವ	VM.v.any.any.any.	ದೂರವಾಗು.ತ್ತಿರುವ
ಮುನ್ಸೂಚನೆ.	UNK	ಮುನ್ಸೂಚನೆ..
.	SYM.punc....	..


ಯಡಿಯೂರಪ್ಪಗೆದ್ದರೆ: -ರಾಜ್ಯ	UNK	ಯಡಿಯೂರಪ್ಪಗೆದ್ದರೆ: -ರಾಜ್ಯ.
ಬಿಜೆಪಿಯಲ್ಲಿ	NN.unk....	ಬಿಜೆಪಿಯಲ್ಲಿ.
ಮತ್ತಷ್ಟು	QF.avy....	ಮತ್ತಷ್ಟು.
ಬಲವರ್ಧನೆ-ವಿಧಾನಸಭೆ	UNK	ಬಲವರ್ಧನೆ-ವಿಧಾನಸಭೆ.
ಚುನಾವಣೆಗೆ	NN.n.n.sg..o	ಚುನಾವಣೆ.ಇಗೆ
ಅಭ್ಯರ್ಥಿಗಳ	NN.n.m.pl.3.o	ಅಭ್ಯರ್ಥಿ.ಅ
ಆಯ್ಕೆಯಲ್ಲಿ	NN.n.n.sg..o	ಆಯ್ಕೆ.ಅಲ್ಲಿ
ಇವರ	PRP.n.f.pl.3.o	ಇವಳು.ಅ
ತೀರ್ಮಾನವೇ	NN.unk....	ತೀರ್ಮಾನವೇ.
ಅಂತಿಮ -ಚುನಾವಣೆ	UNK	ಅಂತಿಮ -ಚುನಾವಣೆ.
ಸಾರಥ್ಯಅಬಾಧಿತ -ವಿರೋಧಿ	UNK	ಸಾರಥ್ಯಅಬಾಧಿತ -ವಿರೋಧಿ.
ಬಣಕ್ಕೆ	NN.n.n.sg..o	ಬಣ.ಇಗೆ
ತಿರುಗೇಟು .	UNK	ತಿರುಗೇಟು ..
.	SYM.punc....	..


ಸೋತರೆ: -ಪಕ್ಷದಲ್ಲಿ	UNK	ಸೋತರೆ: -ಪಕ್ಷದಲ್ಲಿ.
ಪ್ರಾಮುಖ್ಯತೆ	NN.n.n.sg..d	ಪ್ರಾಮುಖ್ಯತೆ.0
ಕ್ಷೀಣಿಸಬಹುದು-ವಿರೋಧಿ	UNK	ಕ್ಷೀಣಿಸಬಹುದು-ವಿರೋಧಿ.
ಬಣಗಳ	NN.n.n.pl..o	ಬಣ.ಅ
ಕೈ	NN.n.n.sg..d	ಕೈ.0
ಮೇಲಾಗಬಹುದು-ಪ್ರತಿ	UNK	ಮೇಲಾಗಬಹುದು-ಪ್ರತಿ.
ನಿರ್ಧಾರಕ್ಕೂ	NN.n.n.sg..o	ನಿರ್ಧಾರ.ಇಗೆ
ಹೈಕಮಾಂಡ್‌	UNK	ಹೈಕಮಾಂಡ್‌.
ಸಮ್ಮತಿ	NN.n.n.sg..d	ಸಮ್ಮತಿ.0
ಬೇಕಾಗಬಹುದು-ಆರೆಸ್ಸೆಸ್‌,	UNK	ಬೇಕಾಗಬಹುದು-ಆರೆಸ್ಸೆಸ್‌,.
ಪಕ್ಷದ	NN.n.n.sg..o	ಪಕ್ಷ.ಅ
ಹಿಡಿತ	VM.n.n.sg..d	ಹಿಡಿತ.0
ಇವರ	PRP.n.f.pl.3.o	ಇವಳು.ಅ
ಮೇಲೆ	NST.n.n.sg..d	ಮೇಲೆ.0
ಹೆಚ್ಚಾಗಬಹುದು..	UNK	ಹೆಚ್ಚಾಗಬಹುದು...
.	SYM.punc....	..


ಜಿ.ಪರಮೇಶ್ವರಗೆದ್ದರೆ: -ನಂಜನಗೂಡಿನಲ್ಲಿ	UNK	ಜಿ.ಪರಮೇಶ್ವರಗೆದ್ದರೆ: -ನಂಜನಗೂಡಿನಲ್ಲಿ.
ಅಗ್ನಿ	NN.n.n.sg..d	ಅಗ್ನಿ.0
ಪರೀಕ್ಷೆ	NN.n.n.sg..d	ಪರೀಕ್ಷೆ.0
ಎದುರಿಸಿ	VM.v..pl.2.	ಎದುರಿಸು.0
ಗೆದ್ದರೆ	VM.v.any.any.any.	ಗೆಲ್ಲು.ಅರೆ
ಕೆಪಿಸಿಸಿ	VM.unk....	ಕೆಪಿಸಿಸಿ.
ಅಧ್ಯಕ್ಷ	NN.n.m.sg.3.d	ಅಧ್ಯಕ್ಷ.0
ಹುದ್ದೆ	NN.n.n.sg..d	ಹುದ್ದೆ.0
ಮುಂದುವರೆಸಲು	VM.v.any.any.any.	ಮುಂದುವರೆಸು.ಅಲು
ಒತ್ತಡ	NN.n.n.sg..d	ಒತ್ತಡ.0
ಹಾಕ	NN.unk....	ಹಾಕ.
ಬ	SYM.unk....	ಬ.
ಹುದು -ದಲಿತ	UNK	ಹುದು -ದಲಿತ.
ನಾಯಕನೆಂದು	NN.unk....	ನಾಯಕನೆಂದು.
ಹೇಳಲು	VM.v.any.any.any.	ಹೇಳು.ಅಲು
ಪುಷ್ಟಿ-ಸಿಎಂ	UNK	ಪುಷ್ಟಿ-ಸಿಎಂ.
ರೇಸ್‌ನಲ್ಲಿ	UNK	ರೇಸ್‌ನಲ್ಲಿ.
ಮುಂಚೂಣಿಗೆ	NN.n.n.sg..o	ಮುಂಚೂಣಿ.ಇಗೆ
ಬರಲು	VM.v.any.any.any.	ಬರು.ಅಲು
ಅವಕಾಶ-ಮುಂದೆ	UNK	ಅವಕಾಶ-ಮುಂದೆ.
ಟಿಕೆಟ್‌	UNK	ಟಿಕೆಟ್‌.
ಹಂಚಿಕೆಯಲ್ಲಿ	NN.n.n.sg..o	ಹಂಚಿಕೆ.ಅಲ್ಲಿ
ಪ್ರಮುಖ	JJ.unk....	ಪ್ರಮುಖ.
ಪಾತ್ರ..	UNK	ಪಾತ್ರ...
.	SYM.punc....	..


ಸೋತರೆ: -ಕೆಪಿಸಿಸಿ	UNK	ಸೋತರೆ: -ಕೆಪಿಸಿಸಿ.
ಅಧ್ಯಕ್ಷ	NN.n.m.sg.3.d	ಅಧ್ಯಕ್ಷ.0
ಹುದ್ದೆ	NN.n.n.sg..d	ಹುದ್ದೆ.0
ಬದಲಾವಣೆ	NN.n.n.sg..d	ಬದಲಾವಣೆ.0
ಖಚಿತ-ಪ್ರಭಾವಿ	UNK	ಖಚಿತ-ಪ್ರಭಾವಿ.
ದಲಿತ	NN.avy....	ದಲಿತ.
ನಾಯಕನಲ್ಲ	UNK	ನಾಯಕನಲ್ಲ.
ಎಂಬ	PRP.unk....	ಎಂಬ.
ಸಂದೇಶ	NN.n.n.sg..d	ಸಂದೇಶ.0
ರವಾನೆ.	UNK	ರವಾನೆ..
.	SYM.punc....	..


ಡಿ.ಕೆ.ಶಿವಕುಮಾರಗೆದ್ದರೆ: -ಗುಂಡ್ಲುಪೇಟೆ	UNK	ಡಿ.ಕೆ.ಶಿವಕುಮಾರಗೆದ್ದರೆ: -ಗುಂಡ್ಲುಪೇಟೆ.
ಜವಾಬ್ದಾರಿ	NN.n.n.sg..d	ಜವಾಬ್ದಾರಿ.0
ಹೊತ್ತಿರುವ	VM.v.any.any.any.	ಹೊತ್ತು.ಇರುವ
ಇವರು	PRP.n.f.pl.3.d	ಇವಳು.0
ಅಲ್ಲಿ	NST.avy....	ಅಲ್ಲಿ.
ಗೆದ್ದರೆ	VM.v.any.any.any.	ಗೆಲ್ಲು.ಅರೆ
ಕೆಪಿಸಿಸಿ	VM.unk....	ಕೆಪಿಸಿಸಿ.
ಅಧ್ಯಕ್ಷ	NN.n.m.sg.3.d	ಅಧ್ಯಕ್ಷ.0
ಸ್ಥಾನದ	NN.n.n.sg..o	ಸ್ಥಾನ.ಅ
ಹಾದಿ	NN.n.n.sg..d	ಹಾದಿ.0
ಸುಗಮ-ಚುನಾವಣೆಯಲ್ಲಿ	UNK	ಸುಗಮ-ಚುನಾವಣೆಯಲ್ಲಿ.
ಪಕ್ಷ	NN.n.n.sg..d	ಪಕ್ಷ.0
ಮುನ್ನಡೆಸಲು	VM.v.any.any.any.	ಮುನ್ನಡೆಸು.ಅಲು
ಅವಕಾಶ -ಕೃಷ್ಣ	UNK	ಅವಕಾಶ -ಕೃಷ್ಣ.
ನಿರ್ಗಮನದ	NN.n.n.sg..o	ನಿರ್ಗಮನ.ಅ
ನಂತರ	RB.avy....	ನಂತರ.
ಕಾಂಗ್ರೆಸ್‌ನಲ್ಲಿ	UNK	ಕಾಂಗ್ರೆಸ್‌ನಲ್ಲಿ.
ಒಕ್ಕಲಿಗ	NN.n.m.sg.3.d	ಒಕ್ಕಲಿಗ.0
ನಾಯಕನೆಂದು	NN.unk....	ನಾಯಕನೆಂದು.
