ಮನುಷ್ಯ	NN.n.m.sg.3.d	ಮನುಷ್ಯ.0
ಅಂದಮೇಲೆ	NST.avy....	ಅಂದಮೇಲೆ.
ಆಸೆಗಳು	NN.n.n.pl..d	ಆಸೆ.0
ಸಹಜ.	UNK	ಸಹಜ..
.	SYM.punc....	..


ಅದರಲ್ಲೂ	PRP.unk....	ಅದರಲ್ಲೂ.
ಒಬ್ಬೊಬ್ಬರಿಗೆ	QC.n.m.sg.3.o	ಒಬ್ಬೊಬ್ಬರು.ಇಗೆ
ಒಂದೊಂದು	UNK	ಒಂದೊಂದು.
ಆಸೆಗಳು	NN.n.n.pl..d	ಆಸೆ.0
ಇದ್ದೇ	VM.v.any.any.any.	ಇರು.ಏ
ಇರುತ್ತೆ.	UNK	ಇರುತ್ತೆ..
.	SYM.punc....	..


ಅಂಥದ್ದೊಂದು	JJ.unk....	ಅಂಥದ್ದೊಂದು.
ಆಸೆ	NN.n.n.sg..d	ಆಸೆ.0
ಹಿರಿಯ	NN.unk....	ಹಿರಿಯ.
ನಟ,	UNK	ನಟ,.
ನಿರ್ದೇಶಕ,	UNK	ನಿರ್ದೇಶಕ,.
ನಿರ್ಮಾಪಕ	JJ.n.m.sg.3.d	ನಿರ್ಮಾಪಕ.0
ದ್ವಾರಕೀಶ್‌	UNK	ದ್ವಾರಕೀಶ್‌.
ಅವರಿಗೂ	NN.unk....	ಅವರಿಗೂ.
ಇತ್ತು.	UNK	ಇತ್ತು..
.	SYM.punc....	..


ಅದು	PRP.n.n.sg..d	ಅದು.0
ಬೇರೇನೂ	NN.unk....	ಬೇರೇನೂ.
ಅಲ್ಲ,	UNK	ಅಲ್ಲ,.
ಬಾಲಿವುಡ್‌	UNK	ಬಾಲಿವುಡ್‌.
ನಟಿ	NN.n.f.sg.3.d	ನಟಿ.0
ರೇಖಾ	NN.n.f.sg.3.d	ರೇಖಾ.0
ಅವರು	PRP.n.f.pl.3.d	ಅವಳು.0
ಹಾಕಿದ್ದ	VM.v.any.any.any.	ಹಾಕು.ಇದ್ದ
ಒಂದು	QC.n.n.sg..d	ಒಂದು.0
ಡ್ರೆಸ್‌	UNK	ಡ್ರೆಸ್‌.
ಮೇಲಿನ	NST.unk....	ಮೇಲಿನ.
ಆಸೆಯದು!.	UNK	ಆಸೆಯದು!..
.	SYM.punc....	..


ಹೌದು,	UNK	ಹೌದು,.
ಸುಮಾರು	JJ.avy....	ಸುಮಾರು.
ಮೂರು	QC.n.n.sg..d	ಮೂರು.0
ದಶಕಗಳ	NN.n.n.pl..o	ದಶಕ.ಅ
ಹಿಂದಿನ	NST.n.n.sg..o	ಹಿಂದು.ಅ
ಸ್ವಾರಸ್ಯಕರ	NN.unk....	ಸ್ವಾರಸ್ಯಕರ.
ಪ್ರಸಂಗವನ್ನು	NN.n.n.sg..o	ಪ್ರಸಂಗ.ಅನ್ನು
ಬಿಚ್ಚಿಟ್ಟರು	VM.unk....	ಬಿಚ್ಚಿಟ್ಟರು.
ದ್ವಾರಕೀಶ್‌.	UNK	ದ್ವಾರಕೀಶ್‌..
.	SYM.punc....	..


ಸಂದರ್ಭ;	UNK	ಸಂದರ್ಭ;.
"ಲಿಫ್ಟ್	UNK	"ಲಿಫ್ಟ್.
ಮ್ಯಾನ್‌'	UNK	ಮ್ಯಾನ್‌'.
