ಕನ್ನಡದಲ್ಲಿ	NNP.n.n.sg..o	ಕನ್ನಡ.ಅಲ್ಲಿ
ಶೀರ್ಷಿಕೆ	NN.n.n.sg..d	ಶೀರ್ಷಿಕೆ.0
ಸಮರ	NN.n.n.sg..d	ಸಮರ.0
ಹೊಸದೇನಲ್ಲ.	UNK	ಹೊಸದೇನಲ್ಲ..
.	SYM.punc....	..


ಈ	DEM.avy....	ಈ.
ಹಿಂದೆ	NST.avy....	ಹಿಂದೆ.
ಅದೆಷ್ಟೋ	QF.unk....	ಅದೆಷ್ಟೋ.
ಸಿನಿಮಾ	NN.n.n.sg..d	ಸಿನಿಮಾ.0
ಶೀರ್ಷಿಕೆಗಳು	NN.n.n.pl..d	ಶೀರ್ಷಿಕೆ.0
ಗೊಂದಲ	UNK	ಗೊಂದಲ.
ಎಬ್ಬಿಸಿರುವ	VM.v.any.any.any.	ಎಬ್ಬಿಸು.ಇರುವ
ಉದಾಹರಣೆಗಳಿವೆ.	UNK	ಉದಾಹರಣೆಗಳಿವೆ..
.	SYM.punc....	..


ಎಲ್ಲಾ	JJ.avy....	ಎಲ್ಲಾ.
ಶೀರ್ಷಿಕೆ	NN.n.n.sg..d	ಶೀರ್ಷಿಕೆ.0
ಗೊಂದಲಕ್ಕೂ	UNK	ಗೊಂದಲಕ್ಕೂ.
ತೆರೆ	NN.n.n.sg..d	ತೆರೆ.0
ಬಿದ್ದಿರುವುದೂ	UNK	ಬಿದ್ದಿರುವುದೂ.
ಉಂಟು.	UNK	ಉಂಟು..
.	SYM.punc....	..


ಈಗ	NST.avy....	ಈಗ.
ಹೊಸ	JJ.avy....	ಹೊಸ.
ವಿವಾದವೆಂದರೆ,	UNK	ವಿವಾದವೆಂದರೆ,.
ಶಿವರಾಜ್‌ಕುಮಾರ್‌	UNK	ಶಿವರಾಜ್‌ಕುಮಾರ್‌.
ಅಭಿನಯದ	NN.n.n.sg..o	ಅಭಿನಯ.ಅ
"ಲೀಡರ್‌'	UNK	"ಲೀಡರ್‌'.
ಚಿತ್ರದ್ದು.	UNK	ಚಿತ್ರದ್ದು..
.	SYM.punc....	..


ನಿರ್ಮಾಪಕ	JJ.n.m.sg.3.d	ನಿರ್ಮಾಪಕ.0
ತರುಣ್‌	UNK	ತರುಣ್‌.
ಶಿವಪ್ಪ	NNP.unk....	ಶಿವಪ್ಪ.
ನಿರ್ಮಾಣದ	NN.n.n.sg..o	ನಿರ್ಮಾಣ.ಅ
ಈ	DEM.avy....	ಈ.
"ಲೀಡರ್‌'	UNK	"ಲೀಡರ್‌'.
