2016ನೇ	UNK	2016ನೇ.
ಸಾಲಿನ	NN.n.n.sg..o	ಸಾಲು.ಅ
ರಾಜ್ಯ	NN.n.n.sg..d	ರಾಜ್ಯ.0
ವಾರ್ಷಿಕ	NN.n.n.sg..d	ವಾರ್ಷಿಕ.0
ಚಲನಚಿತ್ರ	NN.n.n.sg..d	ಚಲನಚಿತ್ರ.0
ಪ್ರಶಸ್ತಿಗಳ	NN.n.n.pl..o	ಪ್ರಶಸ್ತಿ.ಅ
ವಿವರ	NN.n.n.sg..d	ವಿವರ.0
ಹೀಗಿದೆ:-.	UNK	ಹೀಗಿದೆ:-..
.	SYM.punc....	..


ಪ್ರಥಮ	NN.unk....	ಪ್ರಥಮ.
ಅತ್ಯುತ್ತಮ	JJ.unk....	ಅತ್ಯುತ್ತಮ.
ಚಿತ್ರ:	UNK	ಚಿತ್ರ:.
ಅಮರಾವತಿನಿರ್ಮಾಪಕ	UNK	ಅಮರಾವತಿನಿರ್ಮಾಪಕ.
(ಕೆ.ಸಿ.ಎನ್‌.	UNK	(ಕೆ.ಸಿ.ಎನ್‌..
.	SYM.punc....	..


ಗೌಡ	NN.n.m.sg.3.d	ಗೌಡ.0
ಪ್ರಶಸ್ತಿ)	UNK	ಪ್ರಶಸ್ತಿ).
- ಮಾಧವ	UNK	- ಮಾಧವ.
ರೆಡ್ಡಿ	NN.unk....	ರೆಡ್ಡಿ.
-	SYM.punc....	-.
ಒಂದು	QC.n.n.sg..d	ಒಂದು.0
ಲಕ್ಷ	QC.n.n.sg..d	ಲಕ್ಷ.0
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು	NN.n.n.sg..d	ನಗದು.0
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
50	QC.num....	50.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಚಿನ್ನದ	NN.unk....	ಚಿನ್ನದ.
ಪದಕನಿರ್ದೇಶಕ	UNK	ಪದಕನಿರ್ದೇಶಕ.
(ಎಚ್‌.ಎಲ್‌.ಎನ್‌.	UNK	(ಎಚ್‌.ಎಲ್‌.ಎನ್‌..
.	SYM.punc....	..


ಸಿಂಹ	NNP.n.n.sg..d	ಸಿಂಹ.0
ಪ್ರಶಸ್ತಿ)	UNK	ಪ್ರಶಸ್ತಿ).
- ಬಿ.ಎಂ.	UNK	- ಬಿ.ಎಂ..
.	SYM.punc....	..


ಗಿರಿರಾಜ್‌	UNK	ಗಿರಿರಾಜ್‌.
 -	UNK	 -.
ಒಂದು	QC.n.n.sg..d	ಒಂದು.0
ಲಕ್ಷ	QC.n.n.sg..d	ಲಕ್ಷ.0
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು	NN.n.n.sg..d	ನಗದು.0
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
50	QC.num....	50.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಚಿನ್ನದ	NN.unk....	ಚಿನ್ನದ.
ಪದಕ.	UNK	ಪದಕ..
.	SYM.punc....	..


ದ್ವಿತೀಯ	QO.avy....	ದ್ವಿತೀಯ.
ಅತ್ಯುತ್ತಮ	JJ.unk....	ಅತ್ಯುತ್ತಮ.
ಚಿತ್ರ:	UNK	ಚಿತ್ರ:.
ರೈಲ್ವೆ	NN.unk....	ರೈಲ್ವೆ.
ಚಿಲ್ಡ್ರನ್‌ನಿರ್ಮಾಪಕ	UNK	ಚಿಲ್ಡ್ರನ್‌ನಿರ್ಮಾಪಕ.
- ಪೃಥ್ವಿ	UNK	- ಪೃಥ್ವಿ.
ಕೊಣನೂರ್‌	UNK	ಕೊಣನೂರ್‌.
-	SYM.punc....	-.
ಎಪ್ಪತ್ತೈದು	QC.unk....	ಎಪ್ಪತ್ತೈದು.
ಸಾವಿರ	QC.unk....	ಸಾವಿರ.
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು	NN.n.n.sg..d	ನಗದು.0
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
100	QC.num....	100.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಬೆಳ್ಳಿ	NN.n.n.sg..d	ಬೆಳ್ಳಿ.0
ಪದಕನಿರ್ದೇಶಕ	UNK	ಪದಕನಿರ್ದೇಶಕ.
- ಪೃಥ್ವಿ	UNK	- ಪೃಥ್ವಿ.
ಕೊಣನೂರ್‌	UNK	ಕೊಣನೂರ್‌.
-	SYM.punc....	-.
ಎಪ್ಪತ್ತೈದು	QC.unk....	ಎಪ್ಪತ್ತೈದು.
ಸಾವಿರ	QC.unk....	ಸಾವಿರ.
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು	NN.n.n.sg..d	ನಗದು.0
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
100	QC.num....	100.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಬೆಳ್ಳಿ	NN.n.n.sg..d	ಬೆಳ್ಳಿ.0
ಪದಕ.	UNK	ಪದಕ..
.	SYM.punc....	..


ತೃತೀಯ	QC.avy....	ತೃತೀಯ.
ಅತ್ಯುತ್ತಮ	JJ.unk....	ಅತ್ಯುತ್ತಮ.
ಚಿತ್ರ: ಅಂತರ್ಜಲನಿರ್ಮಾಪಕ	UNK	ಚಿತ್ರ: ಅಂತರ್ಜಲನಿರ್ಮಾಪಕ.
-	SYM.punc....	-.
ಬಿ.	UNK	ಬಿ..
.	SYM.punc....	..


ನಂದಕುಮಾರ್‌	UNK	ನಂದಕುಮಾರ್‌.
-	SYM.punc....	-.
ಐವತ್ತು	QC.unk....	ಐವತ್ತು.
ಸಾವಿರ	QC.unk....	ಸಾವಿರ.
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು	NN.n.n.sg..d	ನಗದು.0
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
100	QC.num....	100.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಬೆಳ್ಳಿ	NN.n.n.sg..d	ಬೆಳ್ಳಿ.0
ಪದಕನಿರ್ದೇಶಕ	UNK	ಪದಕನಿರ್ದೇಶಕ.
-	SYM.punc....	-.
ಹರೀಶ್‌	UNK	ಹರೀಶ್‌.
ಕುಮಾರ್‌	UNK	ಕುಮಾರ್‌.
ಎಲ್‌	UNK	ಎಲ್‌.
 -	UNK	 -.
ವತ್ತು	NN.unk....	ವತ್ತು.
ಸಾವಿರ	QC.unk....	ಸಾವಿರ.
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು	NN.n.n.sg..d	ನಗದು.0
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
100	QC.num....	100.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಬೆಳ್ಳಿ	NN.n.n.sg..d	ಬೆಳ್ಳಿ.0
ಪದಕ.	UNK	ಪದಕ..
.	SYM.punc....	..


ವಿಶೇಷ	JJ.n.n.sg..d	ವಿಶೇಷ.0
ಸಾಮಾಜಿಕ	JJ.n.n.sg..d	ಸಾಮಾಜಿಕ.0
ಕಾಳಜಿಯ	NN.n.n.sg..o	ಕಾಳಜಿ.ಅ
ಚಿತ್ರ:	UNK	ಚಿತ್ರ:.
ಮೂಡ್ಲ	UNK	ಮೂಡ್ಲ.
ಸೀಮೆಯಲಿನಿರ್ಮಾಪಕ	UNK	ಸೀಮೆಯಲಿನಿರ್ಮಾಪಕ.
- ಅನಿಲ್‌	UNK	- ಅನಿಲ್‌.
ನಾಯ್ಡು,	UNK	ನಾಯ್ಡು,.
ಅರುಂಧತಿ	NN.unk....	ಅಭಿನಯನಕ್ಕಾಗಿ.
ಎಂ,	UNK	ಎಂ,.
ಅಮರಾವತಿ	NNP.unk....	ಅಮರಾವತಿ.
ಎಂ	SYM.unk....	ಎಂ.
-	SYM.punc....	-.
ಎಪ್ಪತ್ತೈದು	QC.unk....	ಎಪ್ಪತ್ತೈದು.
ಸಾವಿರ	QC.unk....	ಸಾವಿರ.
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು	NN.n.n.sg..d	ನಗದು.0
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
100	QC.num....	100.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಬೆಳ್ಳಿ	NN.n.n.sg..d	ಬೆಳ್ಳಿ.0
ಪದಕನಿರ್ದೇಶಕ	UNK	ಪದಕನಿರ್ದೇಶಕ.
-	SYM.punc....	-.
ಶಿವರುದ್ರಯ್ಯ	NNP.unk....	ಶಿವರುದ್ರಯ್ಯ.
ಕೆ	NN.unk....	ಕೆ.
 -	UNK	 -.
ಎಪ್ಪತ್ತೈದು	QC.unk....	ಎಪ್ಪತ್ತೈದು.
ಸಾವಿರ	QC.unk....	ಸಾವಿರ.
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು	NN.n.n.sg..d	ನಗದು.0
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
100	QC.num....	100.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಬೆಳ್ಳಿ	NN.n.n.sg..d	ಬೆಳ್ಳಿ.0
ಪದಕ.	UNK	ಪದಕ..
.	SYM.punc....	..


ಅತ್ಯುತ್ತಮ	JJ.unk....	ಅತ್ಯುತ್ತಮ.
ಜನಪ್ರಿಯ	JJ.unk....	ಜನಪ್ರಿಯ.
ಮನರಂಜನ	UNK	ಮನರಂಜನ.
ಚಿತ್ರ: ಕಿರಿಕ್‌	UNK	ಚಿತ್ರ: ಕಿರಿಕ್‌.
ಪಾರ್ಟಿನಿರ್ಮಾಪಕ	UNK	ಪಾರ್ಟಿನಿರ್ಮಾಪಕ.
(ನರಸಿಂಹರಾಜು	UNK	(ನರಸಿಂಹರಾಜು.
ಪ್ರಶಸ್ತಿ)	UNK	ಪ್ರಶಸ್ತಿ).
- ರಕ್ಷಿತ್‌	UNK	- ರಕ್ಷಿತ್‌.
ಶೆಟ್ಟಿ	NN.n.m.sg.3.d	ಶೆಟ್ಟಿ.0
 -	UNK	 -.
ಐವತ್ತು	QC.unk....	ಐವತ್ತು.
ಸಾವಿರ	QC.unk....	ಸಾವಿರ.
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು	NN.n.n.sg..d	ನಗದು.0
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
100	QC.num....	100.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಬೆಳ್ಳಿ	NN.n.n.sg..d	ಬೆಳ್ಳಿ.0
ಪದಕನಿರ್ದೇಶಕ	UNK	ಪದಕನಿರ್ದೇಶಕ.
-	SYM.punc....	-.
ರಿಷಭ್‌	UNK	ರಿಷಭ್‌.
ಶೆಟ್ಟಿ	NN.n.m.sg.3.d	ಶೆಟ್ಟಿ.0
-	SYM.punc....	-.
ಐವತ್ತು	QC.unk....	ಐವತ್ತು.
ಸಾವಿರ	QC.unk....	ಸಾವಿರ.
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು	NN.n.n.sg..d	ನಗದು.0
ಹಾಗೂ	CC.avy....	ಹಾಗೂ.
100	QC.num....	100.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಬೆಳ್ಳಿ	NN.n.n.sg..d	ಬೆಳ್ಳಿ.0
ಪದಕ.	UNK	ಪದಕ..
.	SYM.punc....	..


ಅತ್ಯುತ್ತಮ	JJ.unk....	ಅತ್ಯುತ್ತಮ.
ಮಕ್ಕಳ	NN.n.m.sg.3.o	ಮಕ್ಕಳು.ಅ
ಚಿತ್ರ: ಜೀರ್‌	UNK	ಚಿತ್ರ: ಜೀರ್‌.
ಜಿಂಬೆನಿರ್ಮಾಪಕ	UNK	ಜಿಂಬೆನಿರ್ಮಾಪಕ.
-	SYM.punc....	-.
ಕಾರ್ತಿಕ್‌	UNK	ಕಾರ್ತಿಕ್‌.
ಸರಗೂರು	UNK	ಸರಗೂರು.
 - ಐವತ್ತು	UNK	 - ಐವತ್ತು.
ಸಾವಿರ	NN.unk....	ಸಾವಿರ.
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು	NN.n.n.sg..d	ನಗದು.0
ಹಾಗೂ 100	UNK	ಹಾಗೂ 100.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಬೆಳ್ಳಿ	NN.n.n.sg..d	ಬೆಳ್ಳಿ.0
ಪದಕನಿರ್ದೇಶಕ	UNK	ಪದಕನಿರ್ದೇಶಕ.
-	SYM.punc....	-.
ಕಾರ್ತಿಕ್‌	UNK	ಕಾರ್ತಿಕ್‌.
ಸರಗೂರು	UNK	ಸರಗೂರು.
 - ಐವತ್ತು	UNK	 - ಐವತ್ತು.
ಸಾವಿರ	NN.unk....	ಸಾವಿರ.
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು	NN.n.n.sg..d	ನಗದು.0
ಹಾಗೂ 100	UNK	ಹಾಗೂ 100.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಬೆಳ್ಳಿ	NN.n.n.sg..d	ಬೆಳ್ಳಿ.0
ಪದಕ.	UNK	ಪದಕ..
.	SYM.punc....	..


ಅತ್ಯುತ್ತಮ	JJ.unk....	ಅತ್ಯುತ್ತಮ.
ಪ್ರಾದೇಶಿಕ	JJ.unk....	ಪ್ರಾದೇಶಿಕ.
ಭಾಷಾ	NN.unk....	ಭಾಷಾ.
ಚಿತ್ರ: ಮದಿಪು	UNK	ಚಿತ್ರ: ಮದಿಪು.
(ತುಳು)ನಿರ್ಮಾಪಕ	UNK	(ತುಳು)ನಿರ್ಮಾಪಕ.
-	SYM.punc....	-.
ಸಂದೀಪ್‌	UNK	ಸಂದೀಪ್‌.
ಕುಮಾರ್‌	UNK	ಕುಮಾರ್‌.
ನಂದಲಿಕೆ	UNK	ನಂದಲಿಕೆ.
-	SYM.punc....	-.
ಐವತ್ತು	QC.unk....	ಐವತ್ತು.
ಸಾವಿರ	QC.unk....	ಸಾವಿರ.
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು ಹಾಗೂ	UNK	ನಗದು ಹಾಗೂ.
100	QC.num....	100.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಬೆಳ್ಳಿ	NN.n.n.sg..d	ಬೆಳ್ಳಿ.0
ಪದಕನಿರ್ದೇಶಕ	UNK	ಪದಕನಿರ್ದೇಶಕ.
-	SYM.punc....	-.
ಚೇತನ್‌	UNK	ಚೇತನ್‌.
ಮುಂಡಾಡಿ	UNK	ಮುಂಡಾಡಿ.
- ಐವತ್ತು	UNK	- ಐವತ್ತು.
ಸಾವಿರ	NN.unk....	ಸಾವಿರ.
ರೂ.ಗಳ	UNK	ರೂ.ಗಳ.
ನಗದು	NN.n.n.sg..d	ನಗದು.0
ಹಾಗೂ 100	UNK	ಹಾಗೂ 100.
ಗ್ರಾಂನ	UNK	ಗ್ರಾಂನ.
ಬೆಳ್ಳಿ	NN.n.n.sg..d	ಬೆಳ್ಳಿ.0
ಪದಕ.	UNK	ಪದಕ..
.	SYM.punc....	..


ನಿರ್ದೇಶಕರ	NN.n.m.pl.3.o	ನಿರ್ದೇಶಕ.ಅ
ಪ್ರಥಮ	NN.unk....	ಪ್ರಥಮ.
